episode_id,index_name,direction,threshold,minimum_duration_months,onset_date,persistence_date,observable_date,observable_delay_after_center_months,end_date,duration_months,peak_date,peak_value,end_censored
roni_cold_1950_01,roni,cold,-0.5,5,1950-01-01,1950-05-01,1950-07-01,2,1950-06-01,6,1950-01-01,-1.19,False
roni_cold_1955_08,roni,cold,-0.5,5,1955-08-01,1955-12-01,1956-02-01,2,1956-01-01,6,1955-11-01,-1.4,False
roni_cold_1964_05,roni,cold,-0.5,5,1964-05-01,1964-09-01,1964-11-01,2,1964-11-01,7,1964-05-01,-0.66,False
roni_cold_1970_08,roni,cold,-0.5,5,1970-08-01,1970-12-01,1971-02-01,2,1971-04-01,9,1971-02-01,-1.0,False
roni_cold_1973_05,roni,cold,-0.5,5,1973-05-01,1973-09-01,1973-11-01,2,1974-06-01,14,1973-12-01,-1.91,False
roni_cold_1975_05,roni,cold,-0.5,5,1975-05-01,1975-09-01,1975-11-01,2,1976-02-01,10,1975-12-01,-1.11,False
roni_cold_1983_09,roni,cold,-0.5,5,1983-09-01,1984-01-01,1984-03-01,2,1984-02-01,6,1983-11-01,-1.1,False
roni_cold_1984_10,roni,cold,-0.5,5,1984-10-01,1985-02-01,1985-04-01,2,1985-06-01,9,1984-12-01,-0.93,False
roni_cold_1988_04,roni,cold,-0.5,5,1988-04-01,1988-08-01,1988-10-01,2,1989-05-01,14,1988-11-01,-1.95,False
roni_cold_1995_08,roni,cold,-0.5,5,1995-08-01,1995-12-01,1996-02-01,2,1996-03-01,8,1995-11-01,-1.02,False
roni_cold_1998_07,roni,cold,-0.5,5,1998-07-01,1998-11-01,1999-01-01,2,2000-06-01,24,1998-12-01,-1.61,False
roni_cold_2000_10,roni,cold,-0.5,5,2000-10-01,2001-02-01,2001-04-01,2,2001-03-01,6,2000-12-01,-0.82,False
roni_cold_2005_11,roni,cold,-0.5,5,2005-11-01,2006-03-01,2006-05-01,2,2006-03-01,5,2006-01-01,-0.9,False
roni_cold_2007_07,roni,cold,-0.5,5,2007-07-01,2007-11-01,2008-01-01,2,2008-05-01,11,2008-01-01,-1.73,False
roni_cold_2008_11,roni,cold,-0.5,5,2008-11-01,2009-03-01,2009-05-01,2,2009-03-01,5,2009-01-01,-0.96,False
roni_cold_2010_05,roni,cold,-0.5,5,2010-05-01,2010-09-01,2010-11-01,2,2011-05-01,13,2010-11-01,-1.63,False
roni_cold_2011_09,roni,cold,-0.5,5,2011-09-01,2012-01-01,2012-03-01,2,2012-03-01,7,2011-11-01,-1.02,False
roni_cold_2016_07,roni,cold,-0.5,5,2016-07-01,2016-11-01,2017-01-01,2,2017-01-01,7,2016-10-01,-0.96,False
roni_cold_2017_09,roni,cold,-0.5,5,2017-09-01,2018-01-01,2018-03-01,2,2018-04-01,8,2017-12-01,-1.14,False
roni_cold_2020_05,roni,cold,-0.5,5,2020-05-01,2020-09-01,2020-11-01,2,2023-03-01,35,2020-11-01,-1.46,False
roni_cold_2024_08,roni,cold,-0.5,5,2024-08-01,2024-12-01,2025-02-01,2,2025-04-01,9,2025-01-01,-1.1,False
roni_cold_2025_08,roni,cold,-0.5,5,2025-08-01,2025-12-01,2026-02-01,2,2026-02-01,7,2025-12-01,-1.04,False
