commodity,role,registered_direction,registered_reason,in_signed_family,inside_months,outside_months,inside_tail_months,tail_threshold,log_signed_tail_ratio,signed_mean_difference,eligible,shift_p_value,worst_case_shift_p_value,statistics_agree,bh_q_value,reject_fdr,standardized_log_signed_tail_ratio
"Banana, US",mechanism_candidate,unregistered,,False,427,372,44,0.13480149934886626,0.06063215264576758,0.00448172627225645,True,0.4461538461538462,0.8923076923076924,True,,False,0.28982064350665054
Barley,mechanism_candidate,unregistered,,False,381,346,38,0.06406726734519476,-0.01497028384734769,0.001990846724041544,True,0.5076923076923077,1.0,False,,False,-0.03364869305865769
Beef **,mechanism_candidate,unregistered,,False,427,372,38,0.05285229009087362,-0.23639061057461397,0.00097006200576303,True,0.7076923076923077,1.0,False,,False,-0.6935390507854203
Chicken **,mechanism_candidate,unregistered,,False,427,372,53,0.030747403824000114,0.5279508732914541,0.002781315687686978,True,0.046153846153846156,0.09230769230769231,True,,False,1.7515171056130932
"Coal, Australian",mechanism_candidate,positive,eastern Australian rainfall floods pits and cuts rail and port throughput,True,402,277,47,0.0667100645970226,0.42136132765093254,0.0086490709652771,True,0.15384615384615385,0.3076923076923077,True,0.2076923076923077,False,1.0192333814595602
Cocoa,mechanism_candidate,unregistered,,False,427,372,40,0.07767322925847026,-0.13754477593798137,-0.0035664648431807692,True,0.7230769230769231,0.5230769230769231,False,,False,-0.49556066547182176
Coconut oil,mechanism_candidate,negative,the same rainfall surplus is favourable to coconut supply,True,427,372,56,-0.08733492097674844,0.6980227446637327,-0.0006568851669970024,True,0.06153846153846154,0.12307692307692308,False,0.16615384615384615,False,1.6008607341442884
"Coffee, Arabica",mechanism_candidate,unregistered,,False,427,372,43,0.07875015749940469,0.010875229180292047,0.00268376587170171,True,0.5076923076923077,1.0,True,,False,0.03806212327536432
"Coffee, Robusta",mechanism_candidate,unregistered,,False,427,372,40,0.07478345753942438,-0.13754477593798137,0.0009039430317325701,True,0.7230769230769231,1.0,False,,False,-0.5711963525576752
"Cotton, A Index",mechanism_candidate,unregistered,,False,427,372,49,0.05468583300782498,0.3144403478050759,0.0018508092582258542,True,0.13846153846153847,0.27692307692307694,True,,False,1.1040666016110696
DAP,mechanism_candidate,unregistered,,False,402,313,50,0.0632789892741373,0.55891445103251,0.003867297705103798,True,0.06153846153846154,0.12307692307692308,True,,False,1.6330504158918153
Fish meal,mechanism_candidate,negative,cold-phase upwelling supports the Peruvian anchovy biomass and raises catch,True,328,243,37,-0.04665860847754582,0.30502652135983266,-0.001823630274201414,True,0.18461538461538463,0.36923076923076925,False,0.2076923076923077,False,0.9045581866721669
Gold,negative_control,unregistered,,False,427,372,41,0.04935641109340042,-0.08815202060840484,0.0012585149558903405,True,0.6307692307692307,1.0,False,,False,-0.2315614471880766
Groundnut oil **,mechanism_candidate,unregistered,,False,427,372,51,0.062485217986350206,0.41964676838593507,0.0045672306066992605,True,0.12307692307692308,0.24615384615384617,True,,False,1.436839619963663
Lamb **,mechanism_candidate,unregistered,,False,390,277,37,0.0501645475329453,-0.13447219693172952,0.005145059582143398,True,0.7384615384615385,1.0,False,,False,-0.6225514957803102
"Logs, Malaysian",mechanism_candidate,positive,excess rainfall restricts harvest access and haulage,True,427,372,44,0.04860009961706439,0.06063215264576758,5.107906137950748e-05,True,0.47692307692307695,0.9538461538461539,True,0.4769230769230769,False,0.15329714136345743
Maize,mechanism_candidate,positive,the same southern-cone rainfall deficit cuts maize supply,True,427,372,48,0.061727462787206776,0.26277893266976443,0.006171343047191871,True,0.18461538461538463,0.36923076923076925,True,0.2076923076923077,False,1.0629682359014532
"Natural gas, Europe",mechanism_candidate,unregistered,,False,427,372,56,0.05030247351154748,0.6980227446637327,0.011908948362180713,True,0.046153846153846156,0.09230769230769231,True,,False,1.922375574489205
"Natural gas, US",mechanism_candidate,positive,colder northern United States winters raise heating demand,True,427,372,51,0.11482513679740318,0.41964676838593507,0.003416542551013255,True,0.07692307692307693,0.15384615384615385,True,0.16615384615384615,False,1.5054124551856296
Orange,mechanism_candidate,unregistered,,False,427,372,44,0.13297040825345816,0.06063215264576758,-0.001045517909412702,True,0.36923076923076925,0.7384615384615385,False,,False,0.282717913695792
Palm oil,mechanism_candidate,negative,wetter Southeast Asian conditions are favourable to palm yields,True,427,372,60,-0.07131160012285667,0.9446737029544521,-0.0012568233773867707,True,0.015384615384615385,0.03076923076923077,False,0.06923076923076923,False,2.7078387058980513
Platinum,negative_control,unregistered,,False,427,372,47,0.056867255981520676,0.21163949627159354,-0.0006074562996152632,True,0.26153846153846155,0.5230769230769231,False,,False,0.7341960453265174
