commodity,role,inside_months,outside_months,exceedance_threshold,inside_variance,outside_variance,log_variance_ratio,log_exceedance_ratio,eligible,variance_shift_p_value,exceedance_shift_p_value,standardized_log_variance_ratio,statistics_agree,bh_q_value,reject_fdr
"Banana, US",mechanism_candidate,601,198,0.20744223449723356,0.01836475169450571,0.010254401349825432,0.582726145196311,0.9114530305091383,True,0.015384615384615385,0.015384615384615385,2.14130089286298,True,0.46153846153846156,False
Barley,mechanism_candidate,562,165,0.09521907205109204,0.0037000128877517574,0.003444655902927668,0.0715122863831484,0.3720166907210694,True,0.4307692307692308,0.26153846153846155,0.03709077105277911,True,0.7252747252747253,False
Beef **,mechanism_candidate,601,198,0.07255742997146919,0.0019215291194325,0.002166556678504973,-0.12001783773847388,-0.21216809393113717,True,0.6923076923076923,0.7692307692307693,-0.46094773585172694,True,0.7988165680473374,False
Chicken **,mechanism_candidate,601,198,0.04872880792558149,0.0010746598853322048,0.0014835599417608101,-0.32244033978670605,-0.08902924316636164,True,0.7846153846153846,0.6615384615384615,-0.8258136818735023,True,0.8406593406593406,False
"Coal, Australian",mechanism_candidate,514,165,0.09805253777630858,0.0039855958173674955,0.005889915844357712,-0.39055489358735185,-0.2710402005081177,True,0.7846153846153846,0.7384615384615385,-0.8381595633235875,True,0.8406593406593406,False
Cocoa,mechanism_candidate,601,198,0.10606919757110624,0.004908347173123247,0.004610259029951164,0.06265321637754999,-0.08902924316636164,True,0.5538461538461539,0.7076923076923077,0.05249825145969757,False,0.7552447552447553,False
Coconut oil,mechanism_candidate,601,198,0.12039016864453218,0.005486821613563194,0.005809543514464749,-0.0571528520309958,-0.38589665190730676,True,0.6307692307692307,0.9230769230769231,-0.4060246031236041,True,0.7988165680473374,False
"Coffee, Arabica",mechanism_candidate,601,198,0.10601095494556678,0.0046671272004858285,0.004047259804460347,0.14250366126055805,0.04167008865844253,True,0.3384615384615385,0.5076923076923077,0.5309868014258088,True,0.7252747252747253,False
"Coffee, Robusta",mechanism_candidate,601,198,0.10243315947815942,0.004529043895739202,0.0025621519680547222,0.5696633387792921,0.5941524803755955,True,0.046153846153846156,0.12307692307692308,2.187043027362838,True,0.6923076923076923,False
"Cotton, A Index",mechanism_candidate,601,198,0.07186503199170245,0.0024899334021323584,0.001683398578984812,0.3914412503263741,0.33425749813167666,True,0.2,0.24615384615384617,0.9955854201687386,True,0.7252747252747253,False
DAP,mechanism_candidate,546,169,0.09467907008888926,0.004598287757311922,0.004188749856140477,0.09328168180506316,-0.15938317703945964,True,0.4153846153846154,0.7230769230769231,0.11628715885121096,False,0.7252747252747253,False
Fish meal,mechanism_candidate,425,146,0.06776578790066004,0.0017159848670478825,0.0032943342139603836,-0.6522169057513902,-0.46009071265863144,True,0.9692307692307692,0.9384615384615385,-1.6922024813332273,True,0.9692307692307692,False
Gold,negative_control,601,198,0.06728781510996179,0.0016283301080969232,0.0026686440850455955,-0.4940154939781137,-0.32924805199632035,True,0.9230769230769231,0.8307692307692308,-1.3839001309755614,True,,False
Groundnut oil **,mechanism_candidate,601,198,0.0855278207832336,0.003778422416678405,0.0031926860303386267,0.16844399415116434,-0.024734141691895282,True,0.49230769230769234,0.5538461538461539,0.18386206070422836,False,0.7252747252747253,False
Lamb **,mechanism_candidate,505,162,0.06594860352290033,0.002025971313474789,0.0013711412247149157,0.39040584271319634,0.26272454774411147,True,0.15384615384615385,0.27692307692307694,1.2046732875991515,True,0.7252747252747253,False
"Logs, Malaysian",mechanism_candidate,601,198,0.07011687507638834,0.0023440751469160277,0.0018270424423969857,0.24919242268966246,-0.024734141691895282,True,0.3384615384615385,0.6307692307692307,0.537596879552927,False,0.7252747252747253,False
Maize,mechanism_candidate,601,198,0.09147429726152587,0.0029764541505864286,0.0026992574358693654,0.09775599825947445,-0.1514411755568923,True,0.36923076923076925,0.7384615384615385,0.22087034253177917,False,0.7252747252747253,False
"Natural gas, Europe",mechanism_candidate,601,198,0.11450377742917289,0.006996464169258327,0.008010536695511977,-0.13535285925815402,-0.32924805199632035,True,0.6923076923076923,0.8307692307692308,-0.44881657757032534,True,0.7988165680473374,False
"Natural gas, US",mechanism_candidate,601,198,0.174023876202806,0.012214161094568077,0.017468143836698754,-0.35778284583488945,-0.024734141691895282,True,0.8461538461538461,0.6,-1.063315226899726,True,0.8753315649867374,False
Orange,mechanism_candidate,601,198,0.18736001923095566,0.014559823068987201,0.014448856137469542,0.007650639451020725,-0.024734141691895282,True,0.5076923076923077,0.6,-0.1086512080204669,False,0.7252747252747253,False
Palm oil,mechanism_candidate,601,198,0.11667727630316851,0.0049523100799236655,0.004039328635471246,0.203775651705963,0.11044320407374805,True,0.3230769230769231,0.49230769230769234,0.5662344089010634,True,0.7252747252747253,False
Platinum,negative_control,601,198,0.08377045268426124,0.00255190345217628,0.0038425783586555637,-0.40930405629856503,-0.6549674968412714,True,0.8307692307692308,1.0,-1.1452914314356066,True,,False
"Rice, Thai 5%",mechanism_candidate,601,198,0.08280106949923709,0.003809790400267119,0.002276439083417154,0.5149617580141287,0.11044320407374805,True,0.26153846153846155,0.4461538461538462,0.876834936259116,True,0.7252747252747253,False
"Rubber, RSS3",mechanism_candidate,601,198,0.10107747710825526,0.004220312857718194,0.003277044988043795,0.252967164154023,0.18188640438484893,True,0.26153846153846155,0.4153846153846154,0.7384299333120184,True,0.7252747252747253,False
"Shrimps, Mexican",mechanism_candidate,580,185,0.06018876714112528,0.001918634852604921,0.00181431018911899,0.05590858449706812,-0.04039179447060036,True,0.4153846153846154,0.6923076923076923,-0.010884680360142285,False,0.7252747252747253,False
Silver,negative_control,601,198,0.11219262317338093,0.004459983908902587,0.00868853312490234,-0.6668589665163652,-0.38589665190730676,True,0.9076923076923077,0.8461538461538461,-1.483032794963873,True,,False
Sorghum,mechanism_candidate,562,165,0.08477333670915362,0.003167915568471785,0.0027727273144394177,0.1332423963720763,-0.19350560368365,True,0.38461538461538464,0.7538461538461538,0.32711384836303786,False,0.7252747252747253,False
Soybeans,mechanism_candidate,601,198,0.08159855613458988,0.00316257990716979,0.002785666251675649,0.1269010474461954,-0.44145697135489326,True,0.49230769230769234,0.9230769230769231,0.14764203501293222,False,0.7252747252747253,False
"Sugar, world",mechanism_candidate,601,198,0.16583509836995802,0.010105222446958035,0.01103103705620856,-0.08766048609399406,-0.2713850999826147,True,0.6615384615384615,0.8461538461538461,-0.4150181985653661,True,0.7988165680473374,False
"Tea, avg 3 auctions",mechanism_candidate,601,198,0.07924424781709566,0.003246418818658439,0.002499908683765169,0.2612982821369865,0.11044320407374805,True,0.36923076923076925,0.35384615384615387,0.6014068417620132,True,0.7252747252747253,False
"Tobacco, US import u.v.",mechanism_candidate,601,196,0.02914579698054399,0.0004953172382213804,0.0003759674230349345,0.2756959438133074,0.031568992671938474,True,0.35384615384615387,0.5230769230769231,0.5169139569186263,True,0.7252747252747253,False
Urea,mechanism_candidate,601,198,0.14572421302840569,0.016217709485335227,0.01488409061011539,0.08581092504254256,-0.32924805199632035,True,0.5076923076923077,0.9384615384615385,0.05030416630932266,False,0.7252747252747253,False
"Wheat, US HRW",mechanism_candidate,601,198,0.08378852435263515,0.003416686394128677,0.0023030037244926014,0.3944569527185463,0.6920270966172135,True,0.18461538461538463,0.07692307692307693,1.0324702951041245,True,0.7252747252747253,False
