commodity,group,role,valid_episode_count,slope_per_peak_roni_sd,hc3_standard_error,t_statistic,permutation_p_value,bh_q_value,reject_fdr,max_t_fwer_p_value,reject_fwer
"Banana, US",horticulture,mechanism_candidate,19,0.014286921634449825,0.030287405083362372,0.4717116436725703,0.652034796520348,0.8054794520547945,False,1.0,False
Barley,grains,mechanism_candidate,18,-0.011962954639765565,0.014362685326867203,-0.8329190793721114,0.4036596340365963,0.8054794520547945,False,1.0,False
Beef **,livestock,mechanism_candidate,19,-0.008051043807644676,0.008945430032324108,-0.9000175261057783,0.34936506349365065,0.8054794520547945,False,1.0,False
Chicken **,livestock,mechanism_candidate,19,-0.0020093870581224292,0.004450598699086681,-0.4514869108587078,0.6422357764223577,0.8054794520547945,False,1.0,False
"Coal, Australian",energy,mechanism_candidate,16,-0.0007475201818497256,0.007435200734902709,-0.10053799601410586,0.9118088191180882,0.976938020483666,False,1.0,False
Cocoa,beverages,mechanism_candidate,19,0.006774143212038722,0.01575322869072812,0.4300161792246297,0.656034396560344,0.8054794520547945,False,1.0,False
Coconut oil,oils,mechanism_candidate,19,0.041535016048653714,0.017018575308434623,2.4405695127763387,0.0230976902309769,0.3464653534646535,False,0.37966203379662034,False
"Coffee, Arabica",beverages,mechanism_candidate,19,-0.010313546003447742,0.018990365717905043,-0.5430935958080906,0.5766423357664233,0.8054794520547945,False,1.0,False
"Coffee, Robusta",beverages,mechanism_candidate,19,-0.0073827816392599745,0.013020389454188125,-0.5670169594570181,0.5533446655334466,0.8054794520547945,False,1.0,False
"Cotton, A Index",raw_materials,mechanism_candidate,19,-0.00558713442436869,0.008460057557222228,-0.6604132875667063,0.5111488851114888,0.8054794520547945,False,1.0,False
DAP,fertilizers,mechanism_candidate,17,0.007511344826601199,0.006741206446014871,1.1142434053538892,0.25277472252774724,0.8054794520547945,False,0.9999000099990001,False
Fish meal,marine,mechanism_candidate,13,0.005870303751656797,0.010321761763437964,0.5687307928817688,0.5958404159584042,0.8054794520547945,False,1.0,False
Gold,precious_metals,negative_control,19,0.003894266984830816,0.008167672119517359,0.4767903177118396,0.6182381761823817,,False,,False
Groundnut oil **,oils,mechanism_candidate,19,0.00014953919970117592,0.014266933698675986,0.010481523420484782,0.9906009399060094,0.9906009399060094,False,1.0,False
Lamb **,livestock,mechanism_candidate,16,-0.012266467217057384,0.01576553666192756,-0.7780557985494947,0.4527547245275472,0.8054794520547945,False,1.0,False
"Logs, Malaysian",raw_materials,mechanism_candidate,19,-0.006487049128022776,0.013719674102277443,-0.4728282231533428,0.6712328767123288,0.8054794520547945,False,1.0,False
Maize,grains,mechanism_candidate,19,-0.018607600740481244,0.009847598550907295,-1.8895571995841423,0.0670932906709329,0.6689331066893311,False,0.8014198580141986,False
"Natural gas, Europe",energy,mechanism_candidate,19,-0.008036177853804453,0.013859464821054471,-0.5798332011778963,0.6041395860413958,0.8054794520547945,False,1.0,False
"Natural gas, US",energy,mechanism_candidate,19,-0.010704753347826943,0.018231483964933834,-0.5871575439726304,0.5168483151684832,0.8054794520547945,False,1.0,False
Orange,horticulture,mechanism_candidate,19,0.01515490373497591,0.023950267264851947,0.632765537327276,0.5114488551144886,0.8054794520547945,False,1.0,False
Palm oil,oils,mechanism_candidate,19,0.0023613396225007927,0.010467720027092623,0.2255829938505384,0.8569143085691431,0.976938020483666,False,1.0,False
Platinum,precious_metals,negative_control,19,0.010488617295917036,0.01200107343158104,0.8739732621180413,0.3782621737826217,,False,,False
"Rice, Thai 5%",grains,mechanism_candidate,19,-0.005996970174279808,0.0066674481817766374,-0.8994400872391676,0.35976402359764026,0.8054794520547945,False,1.0,False
"Rubber, RSS3",raw_materials,mechanism_candidate,19,-0.002974981104241386,0.022782981054988875,-0.13057909748776897,0.8904109589041096,0.976938020483666,False,1.0,False
"Shrimps, Mexican",marine,mechanism_candidate,18,-0.005648679631231914,0.003367288741184579,-1.6775156707365595,0.08919108089191082,0.6689331066893311,False,0.925007499250075,False
Silver,precious_metals,negative_control,19,0.003914337730630442,0.018089613823055413,0.21638592005991722,0.8277172282771723,,False,,False
Sorghum,grains,mechanism_candidate,18,-0.022966420216799024,0.008441941915179366,-2.720513887391638,0.007099290070992901,0.21297870212978703,False,0.22657734226577342,False
Soybeans,oils,mechanism_candidate,19,-0.0007647388371196636,0.014917113908002072,-0.05126587098791478,0.9726027397260274,0.9906009399060094,False,1.0,False
"Sugar, world",horticulture,mechanism_candidate,19,0.03363979138834207,0.031711955370626724,1.0607920891406466,0.2883711628837116,0.8054794520547945,False,1.0,False
"Tea, avg 3 auctions",beverages,mechanism_candidate,19,0.008615959576057626,0.013947206145056658,0.6177552325855169,0.5545445455454454,0.8054794520547945,False,1.0,False
"Tobacco, US import u.v.",raw_materials,mechanism_candidate,19,-0.00436523438768473,0.004833551962440263,-0.9031110913062164,0.3447655234476552,0.8054794520547945,False,1.0,False
Urea,fertilizers,mechanism_candidate,19,-0.01563297260846627,0.013514903447240462,-1.1567209983774087,0.25447455254474555,0.8054794520547945,False,0.9997000299970003,False
"Wheat, US HRW",grains,mechanism_candidate,19,-0.0210686979361296,0.013671663915814326,-1.5410485560399827,0.1161883811618838,0.6971302869713029,False,0.9698030196980302,False
