commodity,crop_code,exposure_weight,hotspot_crop_area_share,physical_crop_area_hectares
"Banana, US",BANA,0.09376658604887901,0.40671038737388443,4987288.08063755
Barley,BARL,0.0777554555687709,0.35068462859908384,50146691.58393216
Cocoa,COCO,0.12929729709395174,0.5715818706241782,7989680.637249293
Coconut oil,CNUT,0.09965832913651743,0.42371218606524846,10744102.94953454
"Coffee, Arabica",COFF,0.07817277344039361,0.3477309258050578,6503788.7991376445
"Coffee, Robusta",RCOF,0.10245552750895667,0.4511549446863389,4377866.859585982
"Cotton, A Index",COTT,0.1200240469257528,0.5258084525524898,32068412.125187647
Groundnut oil **,GROU,0.10865794644224845,0.47311431619550365,29665040.68456501
Maize,MAIZ,0.08889145934778624,0.40421785029108215,176535864.10042694
Orange,CITR,0.08621278210666132,0.38519009304091406,9851954.469972428
Palm oil,OILP,0.09191549165822208,0.3990525258481622,27359829.926971737
Rapeseed oil,RAPE,0.08073748247779977,0.3655853838263993,35682240.30392307
"Rice, Thai 5%",RICE,0.13799607588383753,0.5752581055952057,109475663.56036094
"Rubber, RSS3",RUBB,0.10256096608180433,0.4402039577310899,11943575.779311754
Sorghum,SORG,0.10145334413413074,0.4509890770388813,37101219.645585686
Soybeans,SOYB,0.09548559937270149,0.44208044346926456,119458286.03975874
"Sugar, world",SUGC,0.11621754799014426,0.5113093207594605,26065114.72293383
Sunflower oil,SUNF,0.08507334567852877,0.39223795465125594,27897126.945188336
"Tea, avg 3 auctions",TEAS,0.04621055493814786,0.2110142973242361,4806458.200543612
"Tobacco, US import u.v.",TOBA,0.08487483628628271,0.3758126535732342,3107450.022820703
"Wheat, US HRW",WHEA,0.09753288013426203,0.43449894785410187,194392433.1491449
