commodity,role,eastern_episodes,central_episodes,minimum_detectable_contrast,minimum_detectable_contrast_status,eastern_minus_central,contrast_standard_error,contrast_t_statistic,bootstrap_p_value,observed_contrast_below_mde,bh_q_value,reject_fdr,interpretation
"Banana, US",mechanism_candidate,6,13,0.2769184112548828,estimated,-0.031346761347240605,0.08476053426995785,-0.3698273213734451,0.710928907109289,True,0.8531146885311469,False,inconclusive_underpowered_subgroup
Barley,mechanism_candidate,6,12,0.11849403381347656,estimated,0.0011630977920236395,0.03495712663398279,0.033272122282869784,0.9712028797120288,True,0.9712028797120288,False,inconclusive_underpowered_subgroup
Beef **,mechanism_candidate,6,13,0.04702568054199219,estimated,-0.023048501156248152,0.015546473366294554,-1.4825549572045278,0.15498450154984503,True,0.5166150051661501,False,inconclusive_underpowered_subgroup
Chicken **,mechanism_candidate,6,13,0.04158973693847656,estimated,-0.008869046565641074,0.011491225212395359,-0.7718103510906921,0.45755424457554245,True,0.7387832645306898,False,inconclusive_underpowered_subgroup
"Coal, Australian",mechanism_candidate,6,10,0.031375885009765625,estimated,-0.026325108942268194,0.010191236934188254,-2.5831122475384807,0.032896710328967106,True,0.30116988301169884,False,inconclusive_underpowered_subgroup
Cocoa,mechanism_candidate,6,13,0.10548591613769531,estimated,0.0036488022151366078,0.0326284129828572,0.11182898221417234,0.9152084791520848,True,0.9546286750635281,False,inconclusive_underpowered_subgroup
Coconut oil,mechanism_candidate,6,13,0.1799774169921875,estimated,-0.03617262043096013,0.053497450139852694,-0.6761559726005238,0.5171482851714828,True,0.7387832645306898,False,inconclusive_underpowered_subgroup
"Coffee, Arabica",mechanism_candidate,6,13,0.10885238647460938,estimated,-0.07951531733199468,0.03474088002306743,-2.2888112586439284,0.05019498050194981,True,0.30116988301169884,False,inconclusive_underpowered_subgroup
"Coffee, Robusta",mechanism_candidate,6,13,0.09360313415527344,estimated,-0.05785727457106418,0.029087523813506676,-1.98907527990397,0.08659134086591341,True,0.4237076292370763,False,inconclusive_underpowered_subgroup
"Cotton, A Index",mechanism_candidate,6,13,0.08638381958007812,estimated,0.011167154522187753,0.02598181577221026,0.42980654701323706,0.6824317568243176,True,0.8530396960303969,False,inconclusive_underpowered_subgroup
DAP,mechanism_candidate,6,11,0.047969818115234375,estimated,-0.0019637960204200305,0.01592119445796608,-0.12334476697742085,0.9016098390160984,True,0.9546286750635281,False,inconclusive_underpowered_subgroup
Fish meal,mechanism_candidate,5,8,0.06377220153808594,estimated,0.015119562792432272,0.019594123977971747,0.771637599590066,0.47824347304191256,True,0.7387832645306898,False,inconclusive_underpowered_subgroup
Gold,negative_control,6,13,0.03612518310546875,estimated,-0.01728646276390417,0.012075312556850988,-1.431554063923307,0.1663833616638336,True,,False,inconclusive_underpowered_subgroup
Groundnut oil **,mechanism_candidate,6,13,0.11379241943359375,estimated,-0.018789203624971045,0.03400961473251386,-0.5524674058423895,0.5851414858514149,True,0.7877473122252993,False,inconclusive_underpowered_subgroup
Lamb **,mechanism_candidate,6,10,0.08989334106445312,estimated,-0.02168550898318774,0.0288763442785867,-0.7509783362455843,0.49455054494550543,True,0.7387832645306898,False,inconclusive_underpowered_subgroup
"Logs, Malaysian",mechanism_candidate,6,13,0.14122962951660156,estimated,0.008736761502808957,0.04108806176889395,0.21263503622901953,0.8386161383861613,True,0.9546286750635281,False,inconclusive_underpowered_subgroup
Maize,mechanism_candidate,6,13,0.07818222045898438,estimated,-0.04553106093361038,0.026312800469135717,-1.7303768554402723,0.10748925107489252,True,0.4237076292370763,False,inconclusive_underpowered_subgroup
"Natural gas, Europe",mechanism_candidate,6,13,0.07905006408691406,estimated,-0.022182173892331035,0.02180827107084867,-1.0171450006407048,0.33296670332966705,True,0.7135000785635722,False,inconclusive_underpowered_subgroup
