commodity,observations,clusters,coefficient,standard_error,t_statistic,status,wild_bootstrap_p_value,role,window,relative_month,bh_q_value,reject_fdr,lead_months
"Banana, US",135,12,0.01229885649349783,0.04098253298078235,0.3000999596404899,estimated,0.7526,mechanism_candidate,primary,0,0.9544347826086957,False,3
Barley,79,7,,,,insufficient_observations,,mechanism_candidate,primary,0,,False,3
Beef **,135,12,-0.06094408693171533,0.07719738959426137,-0.7894578722419099,estimated,0.4771,mechanism_candidate,primary,0,0.9544347826086957,False,3
Chicken **,135,12,0.00826736524898052,0.06311000425367054,0.1309992820749918,estimated,0.8967,mechanism_candidate,primary,0,0.9656769230769231,False,3
"Coal, Australian",135,12,0.007532246488586755,0.08922316395101944,0.0844203024757305,estimated,0.9397,mechanism_candidate,primary,0,0.9745037037037036,False,3
Cocoa,135,12,-0.0631636816485161,0.10396677758651943,-0.6075371682646635,estimated,0.6041,mechanism_candidate,primary,0,0.9544347826086957,False,3
Coconut oil,135,12,-0.1402170137114174,0.05948319296543494,-2.3572543221224866,estimated,0.0822,mechanism_candidate,primary,0,0.66136,False,3
"Coffee, Arabica",135,12,-0.11891440387815075,0.06006677856048522,-1.9797033689497423,estimated,0.1181,mechanism_candidate,primary,0,0.66136,False,3
"Coffee, Robusta",135,12,-0.11280979529040226,0.0828677007267287,-1.3613240659640486,estimated,0.2264,mechanism_candidate,primary,0,0.7457333333333334,False,3
"Cotton, A Index",135,12,0.05279097746592288,0.04455511504839341,1.1848466199354242,estimated,0.28,mechanism_candidate,primary,0,0.784,False,3
DAP,135,12,-0.026150002781895255,0.04243027866008001,-0.6163052331423444,estimated,0.5043,mechanism_candidate,primary,0,0.9544347826086957,False,3
Fish meal,135,12,-0.013749049020981232,0.03277067534981147,-0.41955342312041577,estimated,0.6948,mechanism_candidate,primary,0,0.9544347826086957,False,3
Gold,135,12,-0.041050424459534864,0.04488710181555264,-0.9145260620348532,estimated,0.4187,negative_control,primary,0,,False,3
Groundnut oil **,135,12,-0.04979064700170843,0.035601370272570626,-1.3985598481323078,estimated,0.2146,mechanism_candidate,primary,0,0.7457333333333334,False,3
Lamb **,135,12,-0.05475627490330629,0.03101569916902072,-1.7654373872054534,estimated,0.1044,mechanism_candidate,primary,0,0.66136,False,3
"Logs, Malaysian",135,12,0.0046264357600309235,0.026347821039948465,0.17559082980776056,estimated,0.8734,mechanism_candidate,primary,0,0.9656769230769231,False,3
Maize,135,12,-0.08654675719821295,0.05486031284134585,-1.5775840988822505,estimated,0.1659,mechanism_candidate,primary,0,0.7457333333333334,False,3
"Natural gas, Europe",135,12,-0.07661777645089811,0.14768061412834202,-0.5188072713749236,estimated,0.6153,mechanism_candidate,primary,0,0.9544347826086957,False,3
"Natural gas, US",135,12,-0.09052687775777228,0.16960558346831703,-0.5337493961375572,estimated,0.6158,mechanism_candidate,primary,0,0.9544347826086957,False,3
Orange,135,12,0.023934561212803962,0.07817977670624737,0.3061477305407978,estimated,0.784,mechanism_candidate,primary,0,0.9544347826086957,False,3
Palm oil,135,12,-0.10487330124012516,0.045142841730649134,-2.3231435421337867,estimated,0.0201,mechanism_candidate,primary,0,0.2814,False,3
Platinum,135,12,-0.017711624298289645,0.048497022540234046,-0.3652105504744286,estimated,0.689,negative_control,primary,0,,False,3
"Rice, Thai 5%",135,12,-0.03574967198318182,0.06379310120318296,-0.5604002832425097,estimated,0.6023,mechanism_candidate,primary,0,0.9544347826086957,False,3
"Rubber, RSS3",135,12,-0.08541903809098145,0.09806766222730452,-0.8710214575421849,estimated,0.5078,mechanism_candidate,primary,0,0.9544347826086957,False,3
"Shrimps, Mexican",117,10,-0.07717540159234726,0.09917779140807949,-0.7781520489279639,estimated,0.5535,mechanism_candidate,primary,0,0.9544347826086957,False,3
Silver,135,12,-0.013511308014217278,0.058419694186437644,-0.23128001956151936,estimated,0.8245,negative_control,primary,0,,False,3
Sorghum,79,7,,,,insufficient_observations,,mechanism_candidate,primary,0,,False,3
Soybeans,135,12,-0.11546901620111498,0.03211089455521731,-3.5959451706509316,estimated,0.0097,mechanism_candidate,primary,0,0.2716,False,3
"Sugar, world",135,12,0.06233739117538341,0.10839767570984102,0.5750805150310435,estimated,0.6697,mechanism_candidate,primary,0,0.9544347826086957,False,3
"Tea, avg 3 auctions",135,12,0.014534368826666748,0.04769383300195733,0.30474314836616856,estimated,0.7745,mechanism_candidate,primary,0,0.9544347826086957,False,3
"Tobacco, US import u.v.",135,12,0.03117798020988104,0.023553580921135974,1.3237044640589346,estimated,0.2397,mechanism_candidate,primary,0,0.7457333333333334,False,3
Urea,135,12,-0.001174752558713366,0.09484680386857003,-0.012385789618606759,estimated,0.9895,mechanism_candidate,primary,0,0.9895000000000002,False,3
"Wheat, US HRW",135,12,0.01684448654300971,0.0711973207724424,0.23658876991800412,estimated,0.8267,mechanism_candidate,primary,0,0.9644833333333334,False,3
