commodity,observations,clusters,coefficient,standard_error,t_statistic,status,wild_bootstrap_p_value,role,window,relative_month,bh_q_value,reject_fdr
"Banana, US",135,12,-0.03433694134658439,0.03657796005537046,-0.9387330866621951,estimated,0.3177,mechanism_candidate,primary,0,0.6842769230769231,False
Barley,79,7,,,,insufficient_observations,,mechanism_candidate,primary,0,,False
Beef **,135,12,-0.06964147005727411,0.07345857578985124,-0.9480373027718776,estimated,0.4163,mechanism_candidate,primary,0,0.6856705882352941,False
Chicken **,135,12,-0.002485249786629805,0.07361955854984431,-0.03375800990367472,estimated,0.9753,mechanism_candidate,primary,0,0.9753,False
"Coal, Australian",135,12,-0.25326207562076597,0.1461650433468284,-1.732713033305863,estimated,0.1487,mechanism_candidate,primary,0,0.4626222222222222,False
Cocoa,135,12,-0.05753301061718067,0.09758996967483007,-0.5895381544730545,estimated,0.6117,mechanism_candidate,primary,0,0.8156000000000001,False
Coconut oil,135,12,-0.1777059676175964,0.07249011128807066,-2.4514511629235227,estimated,0.0257,mechanism_candidate,primary,0,0.16183999999999998,False
"Coffee, Arabica",135,12,-0.09051191648620695,0.0766036603161373,-1.1815612480222402,estimated,0.299,mechanism_candidate,primary,0,0.6842769230769231,False
"Coffee, Robusta",135,12,-0.08855028894484614,0.07884468510395937,-1.123097756406657,estimated,0.3485,mechanism_candidate,primary,0,0.6856705882352941,False
"Cotton, A Index",135,12,-0.004543158388269498,0.047116162633551374,-0.09642462658948205,estimated,0.9258,mechanism_candidate,primary,0,0.9600888888888889,False
DAP,135,12,-0.14603595486512208,0.06242995094556785,-2.3391970144658547,estimated,0.0188,mechanism_candidate,primary,0,0.16183999999999998,False
Fish meal,135,12,-0.0382564974858006,0.03854346268833358,-0.9925547633108782,estimated,0.4113,mechanism_candidate,primary,0,0.6856705882352941,False
Gold,135,12,-0.08331856709252684,0.03792246958452674,-2.1970765091343836,estimated,0.0648,negative_control,primary,0,,False
Groundnut oil **,135,12,-0.04935250452048087,0.027903944852211128,-1.7686568971472916,estimated,0.1328,mechanism_candidate,primary,0,0.4626222222222222,False
Lamb **,135,12,-0.04986701068784328,0.04124204982929402,-1.2091302661785495,estimated,0.2427,mechanism_candidate,primary,0,0.6177818181818182,False
"Logs, Malaysian",135,12,-0.010526968168156828,0.04398261074372575,-0.23934386772750935,estimated,0.8205,mechanism_candidate,primary,0,0.9158153846153846,False
Maize,135,12,-0.12869560250518658,0.06388084975548619,-2.014619451647698,estimated,0.0519,mechanism_candidate,primary,0,0.21480000000000002,False
"Natural gas, Europe",135,12,-0.037896337328187764,0.16913105660426084,-0.22406492390607496,estimated,0.8504,mechanism_candidate,primary,0,0.9158153846153846,False
"Natural gas, US",135,12,-0.19887776884977632,0.15673087379796097,-1.2689125252127809,estimated,0.2235,mechanism_candidate,primary,0,0.6177818181818182,False
Orange,135,12,0.05975878922531194,0.14705776247005944,0.4063626987217262,estimated,0.7818,mechanism_candidate,primary,0,0.9158153846153846,False
Palm oil,135,12,-0.13502847835699766,0.05279131229531275,-2.5577784011439815,estimated,0.0126,mechanism_candidate,primary,0,0.16183999999999998,False
