issue_date,target_center_date,lead_months,probability_el_nino,revision,issue_month
2014-02-06,2014-08-01,6,0.47,0.009999999999999953,2014-02-01
2014-03-06,2014-09-01,6,0.5,0.010000000000000009,2014-03-01
2014-04-10,2014-10-01,6,0.63,0.12,2014-04-01
2014-05-08,2014-11-01,6,0.78,0.14,2014-05-01
2014-06-05,2014-12-01,6,0.82,0.039999999999999925,2014-06-01
2014-07-10,2015-01-01,6,0.75,-0.050000000000000044,2014-07-01
2014-08-07,2015-02-01,6,0.59,-0.13,2014-08-01
2014-09-04,2015-03-01,6,0.56,0.030000000000000027,2014-09-01
2014-10-09,2015-04-01,6,0.52,0.040000000000000036,2014-10-01
2014-11-06,2015-05-01,6,0.5,0.020000000000000018,2014-11-01
2014-12-04,2015-06-01,6,0.46,0.0,2014-12-01
2015-01-08,2015-07-01,6,0.4,-0.03999999999999998,2015-01-01
2015-02-05,2015-08-01,6,0.41,0.02999999999999997,2015-02-01
2015-03-05,2015-09-01,6,0.51,0.10999999999999999,2015-03-01
2015-04-09,2015-10-01,6,0.61,0.10999999999999999,2015-04-01
2015-05-14,2015-11-01,6,0.83,0.22999999999999998,2015-05-01
2015-06-11,2015-12-01,6,0.88,0.06000000000000005,2015-06-01
2015-07-09,2016-01-01,6,0.91,0.050000000000000044,2015-07-01
2015-08-13,2016-02-01,6,0.92,0.040000000000000036,2015-08-01
2015-09-10,2016-03-01,6,0.87,0.020000000000000018,2015-09-01
2015-10-08,2016-04-01,6,0.71,-0.040000000000000036,2015-10-01
2015-11-12,2016-05-01,6,0.52,0.030000000000000027,2015-11-01
2015-12-10,2016-06-01,6,0.39,0.06,2015-12-01
2016-01-14,2016-07-01,6,0.26,0.0,2016-01-01
2016-02-11,2016-08-01,6,0.16,-0.01999999999999999,2016-02-01
2016-03-10,2016-09-01,6,0.12,0.0,2016-03-01
2016-04-14,2016-10-01,6,0.03,-0.08,2016-04-01
2016-05-12,2016-11-01,6,0.03,0.0,2016-05-01
2016-06-09,2016-12-01,6,0.02,-0.009999999999999998,2016-06-01
2016-07-14,2017-01-01,6,0.04,0.02,2016-07-01
2016-08-11,2017-02-01,6,0.04,-0.010000000000000002,2016-08-01
2016-09-08,2017-03-01,6,0.17,0.12000000000000001,2016-09-01
2016-10-13,2017-04-01,6,0.14,-0.06,2016-10-01
2016-11-10,2017-05-01,6,0.2,0.020000000000000018,2016-11-01
2016-12-08,2017-06-01,6,0.23,-0.03,2016-12-01
2017-01-12,2017-07-01,6,0.33,0.07,2017-01-01
2017-02-09,2017-08-01,6,0.46,0.11000000000000004,2017-02-01
2017-03-09,2017-09-01,6,0.52,0.050000000000000044,2017-03-01
2017-04-13,2017-10-01,6,0.51,-0.020000000000000018,2017-04-01
2017-05-11,2017-11-01,6,0.46,-0.04999999999999999,2017-05-01
2017-06-08,2017-12-01,6,0.35,-0.10000000000000003,2017-06-01
2017-07-13,2018-01-01,6,0.33,0.0,2017-07-01
2017-08-10,2018-02-01,6,0.17,-0.15,2017-08-01
2017-09-14,2018-03-01,6,0.06,-0.14,2017-09-01
2017-10-12,2018-04-01,6,0.11,0.020000000000000004,2017-10-01
2017-11-09,2018-05-01,6,0.15,-0.010000000000000009,2017-11-01
2017-12-14,2018-06-01,6,0.17,-0.04999999999999999,2017-12-01
2018-01-11,2018-07-01,6,0.22,0.0,2018-01-01
2018-02-08,2018-08-01,6,0.25,-0.010000000000000009,2018-02-01
2018-03-08,2018-09-01,6,0.33,0.04999999999999999,2018-03-01
2018-04-12,2018-10-01,6,0.41,0.02999999999999997,2018-04-01
2018-05-10,2018-11-01,6,0.45,0.0,2018-05-01
2018-06-14,2018-12-01,6,0.63,0.14,2018-06-01
2018-07-12,2019-01-01,6,0.7,0.05999999999999994,2018-07-01
2018-08-09,2019-02-01,6,0.67,0.010000000000000009,2018-08-01
2018-09-13,2019-03-01,6,0.59,-0.040000000000000036,2018-09-01
2018-10-11,2019-04-01,6,0.56,0.040000000000000036,2018-10-01
2018-11-08,2019-05-01,6,0.49,0.010000000000000009,2018-11-01
2018-12-13,2019-06-01,6,0.56,0.15000000000000008,2018-12-01
2019-01-10,2019-07-01,6,0.48,-0.040000000000000036,2019-01-01
2019-02-14,2019-08-01,6,0.42,-0.020000000000000018,2019-02-01
2019-03-12,2019-09-01,6,0.51,0.12,2019-03-01
2019-04-11,2019-10-01,6,0.53,0.030000000000000027,2019-04-01
2019-05-09,2019-11-01,6,0.58,0.06999999999999995,2019-05-01
2019-06-13,2019-12-01,6,0.53,-0.039999999999999925,2019-06-01
2019-07-11,2020-01-01,6,0.38,-0.14,2019-07-01
2019-08-08,2020-02-01,6,0.31,-0.07,2019-08-01
2019-09-12,2020-03-01,6,0.29,-0.020000000000000018,2019-09-01
2019-10-10,2020-04-01,6,0.28,0.0,2019-10-01
2019-11-14,2020-05-01,6,0.25,-0.03999999999999998,2019-11-01
2019-12-12,2020-06-01,6,0.27,0.030000000000000027,2019-12-01
2020-01-21,2020-07-01,6,0.26,-0.010000000000000009,2020-01-01
2020-02-13,2020-08-01,6,0.22,-0.04000000000000001,2020-02-01
2020-03-12,2020-09-01,6,0.2,-0.03,2020-03-01
2020-04-09,2020-10-01,6,0.21,0.01999999999999999,2020-04-01
2020-05-14,2020-11-01,6,0.11,-0.11,2020-05-01
2020-06-11,2020-12-01,6,0.11,0.0,2020-06-01
2020-07-09,2021-01-01,6,0.08,-0.05,2020-07-01
2020-08-13,2021-02-01,6,0.08,-0.039999999999999994,2020-08-01
2020-09-10,2021-03-01,6,0.08,-0.05,2020-09-01
2020-10-08,2021-04-01,6,0.1,-0.01999999999999999,2020-10-01
2020-11-12,2021-05-01,6,0.02,-0.14,2020-11-01
2020-12-10,2021-06-01,6,0.07,-0.009999999999999995,2020-12-01
2021-01-14,2021-07-01,6,0.11,-0.05,2021-01-01
2021-02-11,2021-08-01,6,0.08,-0.05,2021-02-01
2021-03-11,2021-09-01,6,0.1,0.0,2021-03-01
2021-04-08,2021-10-01,6,0.13,0.03,2021-04-01
2021-05-13,2021-11-01,6,0.08,-0.05,2021-05-01
2021-06-10,2021-12-01,6,0.06,-0.010000000000000009,2021-06-01
2021-07-08,2022-01-01,6,0.04,-0.019999999999999997,2021-07-01
2021-08-12,2022-02-01,6,0.04,0.0,2021-08-01
2021-09-09,2022-03-01,6,0.03,-0.020000000000000004,2021-09-01
2021-10-14,2022-04-01,6,0.02,-0.030000000000000002,2021-10-01
2021-11-11,2022-05-01,6,0.04,-0.04,2021-11-01
2021-12-09,2022-06-01,6,0.12,0.0,2021-12-01
2022-01-13,2022-07-01,6,0.14,-0.06,2022-01-01
2022-02-10,2022-08-01,6,0.14,-0.07999999999999999,2022-02-01
2022-03-10,2022-09-01,6,0.1,-0.07,2022-03-01
2022-04-14,2022-10-01,6,0.08,-0.039999999999999994,2022-04-01
2022-05-12,2022-11-01,6,0.05,-0.039999999999999994,2022-05-01
2022-06-09,2022-12-01,6,0.05,0.0,2022-06-01
2022-07-14,2023-01-01,6,0.05,-0.009999999999999995,2022-07-01
2022-08-11,2023-02-01,6,0.06,-0.010000000000000009,2022-08-01
2022-09-08,2023-03-01,6,0.06,-0.03,2022-09-01
2022-10-13,2023-04-01,6,0.07,-0.039999999999999994,2022-10-01
2022-11-10,2023-05-01,6,0.15,0.0,2022-11-01
