commodity,full_macro_mean_return,deletions_tested,loo_min_mean_return,loo_max_mean_return,loo_max_abs_change_from_full,most_influential_episode_id,loo_sign_agreement_all,loo_stable_direction_all,loo_bootstrap_fdr_rejections,loo_worst_bootstrap_q_value,full_passes_macro_gates,survives_all_deletions
"Banana, US",-0.0320625174725987,17,-0.09947541254065449,0.0013186859022516519,0.06741289506805578,roni_warm_1994_07,False,False,0,0.9935006499350065,False,False
Barley,0.1694284801386964,17,0.12813153405803385,0.19677658183610588,0.04129694608066256,roni_warm_1994_07,True,True,0,0.1877812218778122,False,False
Beef **,0.0061881321836051,17,-0.04362625851303649,0.02655056919341557,0.04981439069664159,roni_warm_1977_09,False,False,0,0.9935006499350065,False,False
Chicken **,-0.0198583421774391,17,-0.028807435537741774,-0.012832145946070728,0.008949093360302675,roni_warm_2006_09,True,True,0,0.6062993700629937,False,False
"Coal, Australian",-0.1966111000842242,17,-0.21766975080407927,-0.18230588975999065,0.021058650719855077,roni_warm_2009_09,True,True,17,0.013998600139986002,True,True
Cocoa,0.3095434811055448,17,0.23570541636609674,0.3350351680384831,0.07383806473944807,roni_warm_1976_07,True,True,0,0.218625196303899,False,False
Coconut oil,0.8849426960023682,17,0.8268140740628397,0.9352379607025793,0.0581286219395285,roni_warm_1977_09,True,True,17,0.0029997000299970007,True,True
"Coffee, Arabica",0.2349191499749625,17,0.20146607897127863,0.2692673982726902,0.0343482482977277,roni_warm_1986_08,True,True,16,0.0544945505449455,False,False
"Coffee, Robusta",0.3288551987373903,17,0.2905886914423402,0.3570642252521402,0.0382665072950501,roni_warm_2023_07,True,True,17,0.0144985501449855,True,True
"Cotton, A Index",0.1387293942971034,17,0.06925538009443932,0.16242458297622753,0.06947401420266408,roni_warm_1986_08,True,True,0,0.37424257574242575,False,False
DAP,0.2391649476034115,17,0.18979578184525855,0.26727487521100673,0.04936916575815295,roni_warm_2009_09,True,True,2,0.10614323183066308,False,False
Fish meal,0.1373683951111035,17,0.09970459486032124,0.1589560917395075,0.03766380025078225,roni_warm_2006_09,True,True,0,0.17257097819629802,False,False
Groundnut oil **,0.1397194718561185,17,0.093096119971729,0.16907476363273694,0.0466233518843895,roni_warm_2002_07,True,True,0,0.2914208579142086,False,False
Lamb **,-0.0321924830181076,17,-0.06474556896109887,-0.017222087327796776,0.03255308594299127,roni_warm_2009_09,True,True,0,0.836339442978779,False,False
"Logs, Malaysian",0.1688312412045759,17,0.1321400562654416,0.1968700643740254,0.036691184939134314,roni_warm_1972_04,True,True,16,0.05208570052085701,True,False
Maize,0.1039424127176862,17,0.08234363444116617,0.130631804784994,0.026689392067307804,roni_warm_2023_07,True,True,0,0.2836383028363831,False,False
"Natural gas, Europe",-0.2673681299253489,17,-0.28755161842650984,-0.2472412269974954,0.020183488501160918,roni_warm_2004_07,True,True,17,0.0029997000299970002,True,True
"Natural gas, US",-0.1454891346969879,17,-0.16906161630979272,-0.12554872872983988,0.023572481612804813,roni_warm_1976_07,True,True,16,0.05617620056176201,False,False
Orange,0.0060554785813038,17,-0.03178467271551915,0.031365753042329414,0.03784015129682295,roni_warm_2023_07,False,False,0,0.9935006499350065,False,False
Palm oil,0.434940569795158,17,0.40640417415122443,0.45778823932829193,0.028536395643933565,roni_warm_2006_09,True,True,17,0.0029997000299970002,True,True
"Rice, Thai 5%",0.2523130085830938,17,0.21688110891156598,0.2705693878312105,0.03543189967152782,roni_warm_1972_04,True,True,15,0.055085400550854,True,False
"Rubber, RSS3",0.3513706420564833,17,0.31192392321312334,0.38108183306701715,0.03944671884335993,roni_warm_2009_09,True,True,17,0.0071992800719928,True,True
"Shrimps, Mexican",-0.0424370258343051,17,-0.06416890622467204,-0.015696669259270466,0.026740356575034634,roni_warm_2015_03,False,True,0,0.7819987232046025,False,False
Sorghum,0.096349608682143,17,0.07160849719517243,0.11903211483180445,0.02474111148697057,roni_warm_2006_09,True,True,0,0.27529065275290654,False,False
Soybeans,0.1033925713752042,17,0.06170822671076027,0.12206716820870374,0.041684344664443936,roni_warm_1972_04,True,True,0,0.3412158784121588,False,False
"Sugar, world",0.1204244929933041,17,0.05785201735966147,0.16063101338990105,0.06257247563364263,roni_warm_1968_10,True,True,0,0.5587841215878412,False,False
"Tea, avg 3 auctions",0.1081750721892631,17,0.07328190383174824,0.13415005360441162,0.03489316835751487,roni_warm_1976_07,True,True,0,0.21507849215078495,False,False
"Tobacco, US import u.v.",-0.0199514502568777,17,-0.031674543109802805,-0.01367320287897269,0.011723092852925106,roni_warm_2023_07,True,True,0,0.5688631136886312,False,False
Urea,0.2983883512046165,17,0.25222937142277313,0.33158032455878095,0.04615897978184336,roni_warm_1972_04,True,True,17,0.04756667190423814,True,True
"Wheat, US HRW",-0.0015859975735497,17,-0.03516876261220306,0.021068298446547108,0.03358276503865336,roni_warm_2006_09,False,False,0,0.9935006499350065,False,False
