commodity,macro_episodes,macro_draw_universe_episodes,macro_mean_return,macro_median_return,macro_positive_share,macro_direction,macro_sign_agreement,macro_standard_error,macro_t_statistic,macro_confidence_level,macro_ci_lower,macro_ci_upper,macro_bootstrap_p_value,macro_bootstrap_p_value_method,macro_centered_p_value,macro_studentized_p_value,macro_studentized_ci_lower,macro_studentized_ci_upper,macro_studentized_valid_replicates,macro_studentized_status,macro_group,macro_eligible,macro_bootstrap_bh_q_value,macro_reject_bootstrap_fdr,macro_observed_mean_return,macro_placebo_mean_return,macro_observed_minus_placebo_mean,macro_placebo_interval_lower,macro_placebo_interval_upper,macro_valid_placebo_replicates,macro_required_valid_placebo_replicates,macro_placebo_status,macro_placebo_p_value,macro_placebo_bh_q_value,macro_reject_placebo_fdr,passes_macro_gates
"Banana, US",17,17,-0.03206251747259871,-0.02244200899378982,0.35294117647058826,negative,True,0.09111463764810195,-0.35189205928062667,0.95,-0.1883719804897384,0.1555599419559929,0.7403259674032596,studentized,0.7177282271772822,0.7403259674032596,-0.187257668994521,0.21912563031561144,10000,estimated,horticulture,True,0.822584408225844,False,-0.03206251747259871,0.004768341769754727,-0.036830859242353436,-0.07569128220229428,0.10095943702795757,10000,9000,estimated,0.4333566643335666,0.48150740481507404,False,False
Barley,16,17,0.16942848013869646,0.03970163297054637,0.6875,positive,True,0.0761212284590076,2.2257717534069514,0.95,0.033182170773015975,0.32244302246337203,0.050994900509949,studentized,0.0193980601939806,0.050994900509949,0.02729656262140523,0.36714406813566747,10000,estimated,grains,True,0.11206022254917365,False,0.16942848013869646,0.022815090952760467,0.146613389185936,-0.06932723968010443,0.11451205976254283,10000,9000,estimated,0.0015998400159984002,0.002526063183155369,True,False
Beef **,17,17,0.006188132183605155,-0.07756623210654269,0.47058823529411764,positive,False,0.06253422602913791,0.09895592504369985,0.95,-0.09970649010790224,0.135153581546397,0.9265073492650735,studentized,0.9194080591940806,0.9265073492650735,-0.09603021449178402,0.19683441230112117,10000,estimated,livestock,True,0.9603177613273155,False,0.006188132183605155,0.022585371474729336,-0.01639723929112418,-0.03701211279639409,0.08981074331225866,10000,9000,estimated,0.6373362663733627,0.6828602854000315,False,False
Chicken **,17,17,-0.01985834217743916,-0.04846332821316404,0.4117647058823529,negative,True,0.01959460621586299,-1.0134596204011828,0.95,-0.05640467566407596,0.01839027797446034,0.3200679932006799,studentized,0.3020697930206979,0.3200679932006799,-0.05943773670947918,0.0251296020737279,10000,estimated,livestock,True,0.4000849915008499,False,-0.01985834217743916,0.03716037101791041,-0.05701871319534957,0.007162180174822641,0.06684948221054504,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
"Coal, Australian",16,17,-0.1966111000842242,-0.2224612146146916,0.1875,negative,True,0.03872576207781525,-5.077010484368399,0.95,-0.2678059565443246,-0.1205510349635629,0.0006999300069993001,studentized,0.00019998000199980003,0.0006999300069993001,-0.26877511806104637,-0.09210328307464581,10000,estimated,energy,True,0.004199580041995801,True,-0.1966111000842242,-0.05856995452819758,-0.13804114555602662,-0.1270246950978033,0.014184480118061527,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,True
Cocoa,17,17,0.3095434811055448,0.1672171952691143,0.7647058823529411,positive,True,0.11703830343177714,2.644804923082134,0.95,0.10825265513118666,0.5555674720244471,0.06319368063193681,studentized,0.006799320067993201,0.06319368063193681,0.11315030758403391,0.9333484410808794,10000,estimated,beverages,True,0.12638736126387362,False,0.3095434811055448,0.14803511178803969,0.16150836931750512,0.07457260636293475,0.2197485460317846,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
Coconut oil,17,17,0.8849426960023682,0.8626338777191929,1.0,positive,True,0.130851341828648,6.762962332944322,0.95,0.6434810436757123,1.13405654867242,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,0.6191507638497304,1.1788722194498602,10000,estimated,oils,True,0.0009999000099990003,True,0.8849426960023682,0.19710056098676984,0.6878421350155983,0.015745438815486283,0.37553048335333467,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,True
"Coffee, Arabica",17,17,0.23491914997496255,0.25482777175365945,0.7647058823529411,positive,True,0.07686912834706733,3.056092283423493,0.95,0.08657755482076554,0.3777347600352597,0.0103989601039896,studentized,0.0012998700129987,0.0103989601039896,0.06394612189406138,0.39283135374433775,10000,estimated,beverages,True,0.028360800283608,True,0.23491914997496255,0.23869884972012564,-0.0037796997451630954,0.09924613426709385,0.3884150649965882,10000,9000,estimated,0.9839016098390161,0.9839016098390161,False,False
"Coffee, Robusta",17,17,0.32885519873739033,0.35918067562395734,0.7647058823529411,positive,True,0.07858153504776337,4.1848915083868725,0.95,0.17954268202407375,0.4785926992769539,0.0010998900109989002,studentized,9.999000099990002e-05,0.0010998900109989002,0.16620304669202107,0.5004540039966614,10000,estimated,beverages,True,0.0054994500549945015,True,0.32885519873739033,0.0952434437905104,0.2336117549468799,-0.008443816586467635,0.22075759628727373,10000,9000,estimated,0.0005999400059994001,0.000999900009999,True,True
"Cotton, A Index",17,17,0.13872939429710346,0.06951424319318719,0.5882352941176471,positive,True,0.08904448332485454,1.5579785419270396,0.95,-0.008356450421925364,0.3223918282181759,0.1822817718228177,studentized,0.09929007099290071,0.1822817718228177,-0.003524177617746982,0.4514074204881983,10000,estimated,raw_materials,True,0.26040253117545387,False,0.13872939429710346,-0.043130693090947914,0.18186008738805137,-0.10410395813070798,0.022104498270392618,10000,9000,estimated,0.00019998000199980003,0.00035290588588200006,True,False
