link,outcome,exposure,lag,expected_direction,observations,coefficient,standard_error,p_value,r_squared,observed_direction,sign_matches,bh_q_value,passes_link_test
enso_to_precipitation,precipitation_anomaly_mm,roni_lag_0m,0,negative,528,-27.58334929145441,3.485946189607369,2.518060652961398e-15,0.1885916515226277,negative,True,1.259030326480699e-14,True
enso_to_precipitation,precipitation_anomaly_mm,roni_lag_6m,6,negative,522,-7.27221834549843,4.28721864304664,0.0898374976453119,0.013101400368484839,negative,True,0.22459374411327976,False
enso_to_precipitation,precipitation_anomaly_mm,roni_lag_12m,12,negative,516,1.7930175688275538,4.575604051286101,0.6951582091736547,0.000805435556854639,positive,False,0.6951582091736547,False
enso_to_precipitation,precipitation_anomaly_mm,roni_lag_18m,18,negative,510,4.084108152807986,4.181880402350564,0.328757300405623,0.004189682951359575,positive,False,0.5479288340093716,False
enso_to_precipitation,precipitation_anomaly_mm,roni_lag_24m,24,negative,504,2.8355093173534116,4.655647773939715,0.5424931427350865,0.002058030306302694,positive,False,0.6781164284188581,False
enso_to_temperature,temperature_anomaly_c,roni_lag_0m,0,positive,528,0.10774695161849077,0.03651075354778528,0.0031664250602560077,0.06923156203047598,positive,True,0.005606549575736426,True
enso_to_temperature,temperature_anomaly_c,roni_lag_6m,6,positive,522,0.16377890161201614,0.04189705512131673,9.264863494960906e-05,0.16031445604335248,positive,True,0.00046324317474804525,True
enso_to_temperature,temperature_anomaly_c,roni_lag_12m,12,positive,516,0.0066091997559528035,0.04268060431243327,0.8769375740614198,0.0002616460151957378,positive,True,0.8769375740614198,False
enso_to_temperature,temperature_anomaly_c,roni_lag_18m,18,positive,510,-0.09852486566518623,0.04388485509134868,0.024763209078561752,0.05748383128100776,negative,False,0.03095401134820219,False
enso_to_temperature,temperature_anomaly_c,roni_lag_24m,24,positive,504,-0.1252821754495989,0.04272396100998777,0.0033639297454418557,0.09340979096779878,negative,False,0.005606549575736426,False
precipitation_to_yield,log_yield,annual_precipitation_anomaly_mm_lag_0y,0,positive,88,5.01529953201937e-05,2.7060494632393002e-05,0.06382994559718405,0.08660842528845136,positive,True,0.09574491839577608,False
precipitation_to_yield,log_yield,annual_precipitation_anomaly_mm_lag_1y,1,positive,86,8.350169278786997e-05,2.434078323727238e-05,0.0006024119618958974,0.15690847500933391,positive,True,0.0018072358856876924,True
precipitation_to_yield,log_yield,annual_precipitation_anomaly_mm_lag_2y,2,positive,84,3.2900125390576543e-05,2.5381257249598725e-05,0.19489383723535647,0.07318669389284704,positive,True,0.19489383723535647,False
temperature_to_yield,log_yield,annual_temperature_anomaly_c_lag_0y,0,negative,88,-0.12710773407247244,0.0408115182940391,0.0018425297239436152,0.16642547902782023,negative,True,0.005527589171830846,True
temperature_to_yield,log_yield,annual_temperature_anomaly_c_lag_1y,1,negative,86,-0.06283643194057498,0.04056900820864764,0.12141112367752731,0.060974984176269564,negative,True,0.18211668551629095,False
temperature_to_yield,log_yield,annual_temperature_anomaly_c_lag_2y,2,negative,84,-0.038078509732993426,0.042992804548463305,0.37578193210566124,0.0640824157449269,negative,True,0.37578193210566124,False
production_to_price,price_log_growth,production_log_growth_lag_0y,0,negative,62,-0.32413025972922554,0.3667484088469106,0.37680710720284005,0.008119223702276357,negative,True,0.3986553364785529,False
production_to_price,price_log_growth,production_log_growth_lag_1y,1,negative,61,-0.3895459700636965,0.461533589785444,0.3986553364785529,0.011466410607577138,negative,True,0.3986553364785529,False
