commodity,episodes,draw_universe_episodes,mean_return,median_return,positive_share,direction,sign_agreement,standard_error,t_statistic,confidence_level,ci_lower,ci_upper,bootstrap_p_value,bootstrap_p_value_method,centered_p_value,studentized_p_value,studentized_ci_lower,studentized_ci_upper,studentized_valid_replicates,studentized_status,group,bh_q_value,by_q_value,westfall_young_p_value,westfall_young_status,reject_fdr,reject_fdr_arbitrary_dependence,reject_fwer
"Banana, US",19,19,-0.016573440411283936,-0.007555332055781974,0.47368421052631576,negative,True,0.08253863450485469,-0.20079615456091818,0.95,-0.16193843905438418,0.1578527978882996,0.8496150384961504,studentized,0.8389161083891611,0.8496150384961504,-0.1637143877577239,0.1959440081902031,10000,estimated,horticulture,0.9103018269601612,1.0,0.9971002899710029,estimated,False,False,False
Barley,18,19,0.1222886416584333,0.024172980192639408,0.6666666666666666,positive,True,0.06200710540222088,1.9721714288255316,0.95,0.010498801358204399,0.2479678367677368,0.07379262073792621,studentized,0.0430956904309569,0.07379262073792621,0.006326445946654838,0.2864146850254848,10000,estimated,grains,0.14758524147585242,0.5896011404098087,0.6352364763523648,estimated,False,False,False
Beef **,19,19,0.06312031900181866,0.05019155420344649,0.5263157894736842,positive,True,0.047354962027037276,1.3329187966781637,0.95,-0.023759223766290263,0.15580026300740732,0.198980101989801,studentized,0.1695830416958304,0.198980101989801,-0.026910658108782223,0.17581877440742377,10000,estimated,livestock,0.2984701529847015,1.0,0.873012698730127,estimated,False,False,False
Chicken **,19,19,-0.01037821434620749,-0.0038603907955927015,0.42105263157894735,negative,True,0.017277285689460003,-0.6006854625630641,0.95,-0.04324615726958381,0.02392174474841138,0.5587441255874412,studentized,0.547945205479452,0.5587441255874412,-0.04411853007690128,0.031054962211736606,10000,estimated,livestock,0.6704929507049294,1.0,0.989001099890011,estimated,False,False,False
"Coal, Australian",16,19,-0.22807482177194738,-0.23796876399779182,0.0625,negative,True,0.03548399452522905,-6.427540777850887,0.95,-0.2951451600453044,-0.1604250722225437,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,-0.29794296238861784,-0.1420430787379448,10000,estimated,energy,0.0009999000099990003,0.003994587672153176,0.017298270172982702,estimated,True,True,True
Cocoa,19,19,0.37342671630230767,0.24297822492407153,0.9473684210526315,positive,True,0.1068102819433645,3.4961682481122454,0.95,0.18951223952568094,0.5903531906040882,0.0341965803419658,studentized,0.0005999400059994001,0.0341965803419658,0.19825572383376183,0.8269281234347152,10000,estimated,beverages,0.07891518540453646,0.3152651501253198,0.19148085191480851,estimated,False,False,False
Coconut oil,19,19,0.808762973389429,0.8208902208858411,1.0,positive,True,0.11180440433315539,7.23373089113263,0.95,0.5978417206242576,1.0314726945736328,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,0.5821437085012731,1.059269457627562,10000,estimated,oils,0.0009999000099990003,0.003994587672153176,0.0100989901009899,estimated,True,True,True
"Coffee, Arabica",19,19,0.20740909284206985,0.22864041953037012,0.7894736842105263,positive,True,0.06868709077326805,3.0196226176868484,0.95,0.07374182127415968,0.3335899848480545,0.0091990800919908,studentized,0.001999800019998,0.0091990800919908,0.05592554501127914,0.3457901633302677,10000,estimated,beverages,0.030663600306636,0.12250068861269739,0.26307369263073693,estimated,True,False,False
"Coffee, Robusta",19,19,0.3244748296382484,0.33849262499999605,0.7894736842105263,positive,True,0.07251804068419682,4.474401494812562,0.95,0.18450452634069675,0.46033990223237936,0.0007999200079992001,studentized,9.999000099990002e-05,0.0007999200079992001,0.16899866660337623,0.4756555504881189,10000,estimated,beverages,0.003999600039996001,0.015978350688612704,0.07649235076492351,estimated,True,True,False
"Cotton, A Index",19,19,0.09092442095597701,0.02114011357438259,0.5789473684210527,positive,True,0.07554906823567505,1.2035147895184968,0.95,-0.03486861893078102,0.2504877146199375,0.27617238276172384,studentized,0.21537846215378462,0.27617238276172384,-0.03169460185785851,0.3546723380234229,10000,estimated,raw_materials,0.3602248470805094,1.0,0.8971102889711029,estimated,False,False,False
DAP,17,19,0.2027576336913645,0.18386507497865417,0.8235294117647058,positive,True,0.06977785012915036,2.905759253345935,0.95,0.07849623645499204,0.3409940318974598,0.027297270272972702,studentized,0.0036996300369963003,0.027297270272972702,0.08298213823053158,0.4085351386824546,10000,estimated,fertilizers,0.07274272572742725,0.2906062531491435,0.287971202879712,estimated,False,False,False
Fish meal,13,19,0.11778911927633823,0.005398773063322883,0.5384615384615384,positive,True,0.06096576311054094,1.9320535537752102,0.95,0.006567021674251861,0.24022549451724318,0.09049095090490951,studentized,0.0481951804819518,0.09049095090490951,0.0011430967806139725,0.2977669125113602,10000,estimated,marine,0.16967053294670534,0.677831595618492,0.6507349265073493,estimated,False,False,False
Groundnut oil **,19,19,0.1580191230000503,0.08466474098746009,0.631578947368421,positive,True,0.07479909855950218,2.11258057975588,0.95,0.021539317541177272,0.3117007821209824,0.068993100689931,studentized,0.032596740325967405,0.068993100689931,0.019152381063292062,0.3691218283758325,10000,estimated,oils,0.14758524147585242,0.5896011404098087,0.5882411758824118,estimated,False,False,False
Lamb **,16,19,0.007954420863370887,-0.02608843539752409,0.375,positive,False,0.057422193285911804,0.13852520094042553,0.95,-0.09745063761110712,0.12358640637196455,0.8857114288571143,studentized,0.8831116888311169,0.8857114288571143,-0.09995584646619862,0.16523239491362413,10000,estimated,livestock,0.9162532022659803,1.0,0.9971002899710029,estimated,False,False,False
"Logs, Malaysian",19,19,0.1887111371860357,0.19078413363782354,0.7894736842105263,positive,True,0.060842554267874625,3.1016307493467075,0.95,0.07441250996443369,0.30945639323214275,0.0059994000599940004,studentized,0.0013998600139986002,0.0059994000599940004,0.07213246109699464,0.33234746577985996,10000,estimated,raw_materials,0.025711714542831433,0.10271796871251022,0.2602739726027397,estimated,True,False,False
Maize,19,19,0.06980305240525951,0.03863270366402052,0.6842105263157895,positive,True,0.05130788165373979,1.3604742615635081,0.95,-0.028699947135888772,0.16764464089443162,0.1887811218878112,studentized,0.16348365163483652,0.1887811218878112,-0.04281202831284352,0.1759160398216763,10000,estimated,grains,0.2980754556123335,1.0,0.8644135586441356,estimated,False,False,False
"Natural gas, Europe",19,19,-0.23350773992989016,-0.22135086996291664,0.0,negative,True,0.0369709960421035,-6.315971029397359,0.95,-0.30817079491546445,-0.16603279633466173,0.00019998000199980003,studentized,9.999000099990002e-05,0.00019998000199980003,-0.32434249926914654,-0.16132326961293353,10000,estimated,energy,0.0011998800119988003,0.004793505206583811,0.0184981501849815,estimated,True,True,True
"Natural gas, US",19,19,-0.1225517896738852,-0.12704612631180326,0.21052631578947367,negative,True,0.039735765518588685,-3.084168332344184,0.95,-0.19571436328047898,-0.04438365777289977,0.008799120087991202,studentized,0.0017998200179982,0.008799120087991202,-0.1983339203517662,-0.028023226370532603,10000,estimated,energy,0.030663600306636,0.12250068861269739,0.261973802619738,estimated,True,False,False
Orange,19,19,0.0207114256934289,0.08883008467181094,0.5263157894736842,positive,True,0.0607608644514423,0.3408678576319575,0.95,-0.09319322448909462,0.13922635041356654,0.7310268973102689,studentized,0.7232276772322768,0.7310268973102689,-0.1014981214272547,0.1544452626776739,10000,estimated,horticulture,0.812252108122521,1.0,0.9971002899710029,estimated,False,False,False
Palm oil,19,19,0.34935164881757563,0.38657097153132075,0.9473684210526315,positive,True,0.052830212754579824,6.612724624836771,0.95,0.2482662284137019,0.4509439281845361,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,0.2366368674873986,0.4574832192132212,10000,estimated,oils,0.0009999000099990003,0.003994587672153176,0.015198480151984802,estimated,True,True,True
"Rice, Thai 5%",19,19,0.17267577597862704,0.07890333742035431,0.6842105263157895,positive,True,0.055892819060505916,3.0894089595248277,0.95,0.07470857436913815,0.2872965771995614,0.015998400159984,studentized,0.0024997500249975004,0.015998400159984,0.07312330108683932,0.3242294112896507,10000,estimated,grains,0.047995200479952004,0.19174020826335245,0.261973802619738,estimated,True,False,False
"Rubber, RSS3",19,19,0.3786929463051429,0.4187675158529695,0.9473684210526315,positive,True,0.07111473775400957,5.325097979198995,0.95,0.2511269721311936,0.5172580544784475,0.00019998000199980003,studentized,9.999000099990002e-05,0.00019998000199980003,0.24245811478348847,0.5396382587950214,10000,estimated,raw_materials,0.0011998800119988003,0.004793505206583811,0.036996300369963,estimated,True,True,True
"Shrimps, Mexican",18,19,-0.04339281510035618,-0.02634914540829587,0.4444444444444444,negative,True,0.04097219067380422,-1.059079692512014,0.95,-0.12166613409558458,0.03349202211457548,0.30426957304269575,studentized,0.27217278272172785,0.30426957304269575,-0.13782518101225794,0.034957059243212504,10000,estimated,marine,0.3803369663033697,1.0,0.8971102889711029,estimated,False,False,False
