commodity,episodes,observed_mean_return,standard_error,valid_null_replicates,marginal_alpha,family_alpha,family_size,target_power,marginal_critical_value,family_critical_value,minimum_detectable_effect_marginal,minimum_detectable_effect_marginal_status,minimum_detectable_effect_family,minimum_detectable_effect_family_status,observed_effect_below_marginal_mde
"Banana, US",19,-0.0165734404112839,0.0825386345048546,10000,0.05,0.0016666666666666668,30,0.8,2.277552308529483,3.8805685506529617,0.27713775634765625,estimated,0.4094505310058594,estimated,True
Barley,18,0.1222886416584333,0.0620071054022208,10000,0.05,0.0016666666666666668,30,0.8,2.21184365427045,5.018224721423852,0.19392967224121094,estimated,0.3682899475097656,estimated,True
Beef **,19,0.0631203190018186,0.0473549620270372,10000,0.05,0.0016666666666666668,30,0.8,2.145410012068051,3.98999153611845,0.1446247100830078,estimated,0.23199081420898438,estimated,True
Chicken **,19,-0.0103782143462074,0.01727728568946,10000,0.05,0.0016666666666666668,30,0.8,2.174416601271085,4.041939890441984,0.053310394287109375,estimated,0.08557319641113281,estimated,True
"Coal, Australian",16,-0.2280748217719473,0.035483994525229,10000,0.05,0.0016666666666666668,30,0.8,2.170398967273493,3.7873630035454338,0.10906219482421875,estimated,0.16645431518554688,estimated,False
Cocoa,19,0.3734267163023076,0.1068102819433645,10000,0.05,0.0016666666666666668,30,0.8,2.7575778057355755,8.3375346723274,0.4056262969970703,estimated,1.0061359405517578,estimated,True
Coconut oil,19,0.808762973389429,0.1118044043331553,10000,0.05,0.0016666666666666668,30,0.8,2.141697935505833,3.6689753996753955,0.3389167785644531,estimated,0.5096721649169922,estimated,False
"Coffee, Arabica",19,0.2074090928420698,0.068687090773268,10000,0.05,0.0016666666666666668,30,0.8,2.1141368100056264,4.08099672808007,0.20313262939453125,estimated,0.3382301330566406,estimated,False
"Coffee, Robusta",19,0.3244748296382484,0.0725180406841968,10000,0.05,0.0016666666666666668,30,0.8,2.110905008344564,3.826293432772561,0.21411895751953125,estimated,0.3385162353515625,estimated,False
"Cotton, A Index",19,0.090924420955977,0.075549068235675,10000,0.05,0.0016666666666666668,30,0.8,2.787794679407151,5.682406378983855,0.3030681610107422,estimated,0.5219078063964844,estimated,True
DAP,17,0.2027576336913645,0.0697778501291503,10000,0.05,0.0016666666666666668,30,0.8,2.5023706841050517,4.417267943477204,0.24740219116210938,estimated,0.38102149963378906,estimated,True
Fish meal,13,0.1177891192763382,0.0609657631105409,10000,0.05,0.0016666666666666668,30,0.8,2.4012256624381623,8.977048604739531,0.20369529724121094,estimated,0.6055927276611328,estimated,True
Groundnut oil **,19,0.1580191230000503,0.0747990985595021,10000,0.05,0.0016666666666666668,30,0.8,2.329039317475556,5.35084063635593,0.24909019470214844,estimated,0.47537803649902344,estimated,True
Lamb **,16,0.0079544208633708,0.0574221932859118,10000,0.05,0.0016666666666666668,30,0.8,2.2653591121814407,5.242098333199417,0.1837158203125,estimated,0.3549003601074219,estimated,True
"Logs, Malaysian",19,0.1887111371860357,0.0608425542678746,10000,0.05,0.0016666666666666668,30,0.8,2.1523666310718443,3.571193252537027,0.18769264221191406,estimated,0.2740287780761719,estimated,False
Maize,19,0.0698030524052595,0.0513078816537397,10000,0.05,0.0016666666666666668,30,0.8,2.13574303502529,3.643740455724907,0.15219688415527344,estimated,0.22958755493164062,estimated,True
"Natural gas, Europe",19,-0.2335077399298901,0.0369709960421035,10000,0.05,0.0016666666666666668,30,0.8,2.2056425831908237,4.429135833811314,0.11079788208007812,estimated,0.19300460815429688,estimated,False
"Natural gas, US",19,-0.1225517896738852,0.0397357655185886,10000,0.05,0.0016666666666666668,30,0.8,2.152519555305293,3.8478563272706245,0.12348175048828125,estimated,0.1908588409423828,estimated,True
Orange,19,0.0207114256934289,0.0607608644514423,10000,0.05,0.0016666666666666668,30,0.8,2.109846023286831,3.755717681086354,0.1806354522705078,estimated,0.2806377410888672,estimated,True
Palm oil,19,0.3493516488175756,0.0528302127545798,10000,0.05,0.0016666666666666668,30,0.8,2.098463198375632,3.695390839587406,0.1559162139892578,estimated,0.24028778076171875,estimated,False
"Rice, Thai 5%",19,0.172675775978627,0.0558928190605059,10000,0.05,0.0016666666666666668,30,0.8,2.2773005258184105,5.052024230432302,0.18195152282714844,estimated,0.3372383117675781,estimated,True
"Rubber, RSS3",19,0.3786929463051429,0.0711147377540095,10000,0.05,0.0016666666666666668,30,0.8,2.1056166546586472,3.9459778008112245,0.2130413055419922,estimated,0.3439807891845703,estimated,False
"Shrimps, Mexican",18,-0.0433928151003561,0.0409721906738042,10000,0.05,0.0016666666666666668,30,0.8,2.0955523992855105,3.8330811378574494,0.11992454528808594,estimated,0.1911163330078125,estimated,True
Sorghum,18,0.0559003673487684,0.0454324006000717,10000,0.05,0.0016666666666666668,30,0.8,2.1434613674118284,3.9241046902502648,0.13573646545410156,estimated,0.2166461944580078,estimated,True
Soybeans,19,0.1078011330750206,0.0585865758621677,10000,0.05,0.0016666666666666668,30,0.8,3.09577647568175,6.343928247666108,0.2453136444091797,estimated,0.43595314025878906,estimated,True
"Sugar, world",19,0.1085251541610622,0.0909808395198859,10000,0.05,0.0016666666666666668,30,0.8,2.270563438578266,3.7292394217526934,0.30549049377441406,estimated,0.4382038116455078,estimated,True
"Tea, avg 3 auctions",19,0.0762583973998172,0.0468891353463194,10000,0.05,0.0016666666666666668,30,0.8,2.9706099933737815,5.93752428858259,0.19414901733398438,estimated,0.33333778381347656,estimated,True
"Tobacco, US import u.v.",19,0.0021569834843135,0.0206883422597939,10000,0.05,0.0016666666666666668,30,0.8,2.2141462471752553,4.496030167616829,0.06586074829101562,estimated,0.11307716369628906,estimated,True
Urea,19,0.1779372133894311,0.0667499927555352,10000,0.05,0.0016666666666666668,30,0.8,2.2446338005986064,4.657840196473356,0.21376609802246094,estimated,0.3751182556152344,estimated,True
"Wheat, US HRW",19,0.021583869343326,0.0613327310291876,10000,0.05,0.0016666666666666668,30,0.8,2.187725134692036,4.443186064056517,0.1895427703857422,estimated,0.32792091369628906,estimated,True
