commodity,episodes,draw_universe_episodes,mean_return,median_return,positive_share,direction,sign_agreement,standard_error,t_statistic,confidence_level,ci_lower,ci_upper,bootstrap_p_value,bootstrap_p_value_method,centered_p_value,studentized_p_value,studentized_ci_lower,studentized_ci_upper,studentized_valid_replicates,studentized_status,group,bh_q_value,by_q_value,westfall_young_p_value,westfall_young_status,reject_fdr,reject_fdr_arbitrary_dependence,reject_fwer,observed_mean_return,placebo_mean_return,observed_minus_placebo_mean,placebo_interval_lower,placebo_interval_upper,valid_placebo_replicates,required_valid_placebo_replicates,placebo_status,placebo_p_value,placebo_bh_q_value,reject_placebo_fdr,passes_current_gates
"Banana, US",19,19,-0.0165734404112839,-0.0075553320557819,0.4736842105263157,negative,True,0.0825386345048546,-0.2007961545609181,0.95,-0.1619384390543841,0.1578527978882996,0.8496150384961504,studentized,0.8389161083891611,0.8496150384961504,-0.1637143877577239,0.1959440081902031,10000,estimated,horticulture,0.9103018269601612,1.0,0.9971002899710028,estimated,False,False,False,-0.0165734404112839,-0.036104238641242056,0.019530798229958155,-0.1012943005659377,0.04299237594311354,10000,9000,estimated,0.5787421257874212,0.667779375908563,False,False
Barley,18,19,0.1222886416584333,0.0241729801926394,0.6666666666666666,positive,True,0.0620071054022208,1.972171428825532,0.95,0.0104988013582043,0.2479678367677368,0.0737926207379262,studentized,0.0430956904309569,0.0737926207379262,0.0063264459466548,0.2864146850254848,10000,estimated,grains,0.1475852414758524,0.5896011404098087,0.6352364763523648,estimated,False,False,False,0.1222886416584333,0.0348075442236955,0.0874810974347378,-0.04470169889120407,0.11336130102874356,10000,9000,estimated,0.031996800319968,0.047995200479952004,True,False
Beef **,19,19,0.0631203190018186,0.0501915542034464,0.5263157894736842,positive,True,0.0473549620270372,1.3329187966781637,0.95,-0.0237592237662902,0.1558002630074073,0.198980101989801,studentized,0.1695830416958304,0.198980101989801,-0.0269106581087822,0.1758187744074237,10000,estimated,livestock,0.2984701529847015,1.0,0.873012698730127,estimated,False,False,False,0.0631203190018186,0.012359830566738388,0.05076048843508021,-0.04817241184744791,0.08336059235546756,10000,9000,estimated,0.145985401459854,0.18248175182481752,False,False
Chicken **,19,19,-0.0103782143462074,-0.0038603907955927,0.4210526315789473,negative,True,0.01727728568946,-0.6006854625630641,0.95,-0.0432461572695838,0.0239217447484113,0.5587441255874412,studentized,0.547945205479452,0.5587441255874412,-0.0441185300769012,0.0310549622117366,10000,estimated,livestock,0.6704929507049294,1.0,0.989001099890011,estimated,False,False,False,-0.0103782143462074,0.03154004271328913,-0.04191825705949653,0.0069256345151715686,0.05689579647152693,10000,9000,estimated,0.00039996000399960006,0.0008570571514277145,True,False
"Coal, Australian",16,19,-0.2280748217719473,-0.2379687639977918,0.0625,negative,True,0.035483994525229,-6.427540777850887,0.95,-0.2951451600453044,-0.1604250722225437,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,-0.2979429623886178,-0.1420430787379448,10000,estimated,energy,0.000999900009999,0.0039945876721531,0.0172982701729827,estimated,True,True,True,-0.2280748217719473,-0.06736032354604536,-0.16071449822590195,-0.1666663278056884,0.03778079707165665,9842,9000,estimated,0.001015950421619425,0.0019049070405364218,True,True
Cocoa,19,19,0.3734267163023076,0.2429782249240715,0.9473684210526316,positive,True,0.1068102819433645,3.4961682481122454,0.95,0.1895122395256809,0.5903531906040882,0.0341965803419658,studentized,0.0005999400059994,0.0341965803419658,0.1982557238337618,0.8269281234347152,10000,estimated,beverages,0.0789151854045364,0.3152651501253198,0.1914808519148085,estimated,False,False,False,0.3734267163023076,0.15175710391328806,0.22166961238901955,0.0682693021220037,0.23731162937721453,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,False
Coconut oil,19,19,0.808762973389429,0.8208902208858411,1.0,positive,True,0.1118044043331553,7.23373089113263,0.95,0.5978417206242576,1.0314726945736328,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,0.5821437085012731,1.059269457627562,10000,estimated,oils,0.000999900009999,0.0039945876721531,0.0100989901009899,estimated,True,True,True,0.808762973389429,0.2273145835186191,0.5814483898708099,0.05942906843011802,0.39835007773983894,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,True
"Coffee, Arabica",19,19,0.2074090928420698,0.2286404195303701,0.7894736842105263,positive,True,0.068687090773268,3.0196226176868484,0.95,0.0737418212741596,0.3335899848480545,0.0091990800919908,studentized,0.001999800019998,0.0091990800919908,0.0559255450112791,0.3457901633302677,10000,estimated,beverages,0.030663600306636,0.1225006886126973,0.2630736926307369,estimated,True,False,False,0.2074090928420698,0.15908081702408222,0.04832827581798757,0.04795764968860059,0.28820027995724173,10000,9000,estimated,0.42475752424757524,0.5097090290970903,False,False
"Coffee, Robusta",19,19,0.3244748296382484,0.338492624999996,0.7894736842105263,positive,True,0.0725180406841968,4.474401494812562,0.95,0.1845045263406967,0.4603399022323793,0.0007999200079992,studentized,9.999000099990002e-05,0.0007999200079992,0.1689986666033762,0.4756555504881189,10000,estimated,beverages,0.003999600039996,0.0159783506886127,0.0764923507649235,estimated,True,True,False,0.3244748296382484,0.08126138775550763,0.2432134418827408,-0.001943467377142098,0.18411067014180388,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,True
"Cotton, A Index",19,19,0.090924420955977,0.0211401135743825,0.5789473684210527,positive,True,0.075549068235675,1.2035147895184968,0.95,-0.034868618930781,0.2504877146199375,0.2761723827617238,studentized,0.2153784621537846,0.2761723827617238,-0.0316946018578585,0.3546723380234229,10000,estimated,raw_materials,0.3602248470805094,1.0,0.8971102889711029,estimated,False,False,False,0.090924420955977,-0.038367116557499706,0.12929153751347672,-0.08739234170364776,0.014429181727018412,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,False
DAP,17,19,0.2027576336913645,0.1838650749786541,0.8235294117647058,positive,True,0.0697778501291503,2.905759253345935,0.95,0.078496236454992,0.3409940318974598,0.0272972702729727,studentized,0.0036996300369963,0.0272972702729727,0.0829821382305315,0.4085351386824546,10000,estimated,fertilizers,0.0727427257274272,0.2906062531491435,0.287971202879712,estimated,False,False,False,0.2027576336913645,-0.030286017195287163,0.2330436508866517,-0.1385387764730202,0.07169329027577175,9979,9000,estimated,0.0002004008016032064,0.0004624633883150917,True,False
Fish meal,13,19,0.1177891192763382,0.0053987730633228,0.5384615384615384,positive,True,0.0609657631105409,1.9320535537752104,0.95,0.0065670216742518,0.2402254945172431,0.0904909509049095,studentized,0.0481951804819518,0.0904909509049095,0.0011430967806139,0.2977669125113602,10000,estimated,marine,0.1696705329467053,0.677831595618492,0.6507349265073493,estimated,False,False,False,0.1177891192763382,0.07724614983425092,0.04054296944208728,-0.014108413785279056,0.16580202047375542,8835,9000,insufficient_replicates,1.0,1.0,False,False
Groundnut oil **,19,19,0.1580191230000503,0.08466474098746,0.631578947368421,positive,True,0.0747990985595021,2.11258057975588,0.95,0.0215393175411772,0.3117007821209824,0.068993100689931,studentized,0.0325967403259674,0.068993100689931,0.019152381063292,0.3691218283758325,10000,estimated,oils,0.1475852414758524,0.5896011404098087,0.5882411758824118,estimated,False,False,False,0.1580191230000503,-0.04208946112146823,0.20010858412151855,-0.12616468975982253,0.04873623064042232,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,False
Lamb **,16,19,0.0079544208633708,-0.026088435397524,0.375,positive,False,0.0574221932859118,0.1385252009404255,0.95,-0.0974506376111071,0.1235864063719645,0.8857114288571143,studentized,0.8831116888311169,0.8857114288571143,-0.0999558464661986,0.1652323949136241,10000,estimated,livestock,0.9162532022659804,1.0,0.9971002899710028,estimated,False,False,False,0.0079544208633708,-0.049453103159737936,0.05740752402310874,-0.11739173512419553,0.01643022400974125,9842,9000,estimated,0.09102915777710048,0.12413066969604611,False,False
"Logs, Malaysian",19,19,0.1887111371860357,0.1907841336378235,0.7894736842105263,positive,True,0.0608425542678746,3.1016307493467075,0.95,0.0744125099644336,0.3094563932321427,0.005999400059994,studentized,0.0013998600139986,0.005999400059994,0.0721324610969946,0.3323474657798599,10000,estimated,raw_materials,0.0257117145428314,0.1027179687125102,0.2602739726027397,estimated,True,False,False,0.1887111371860357,0.0532625386063165,0.1354485985797192,-0.00013472434531673695,0.10733730474755657,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,True
Maize,19,19,0.0698030524052595,0.0386327036640205,0.6842105263157895,positive,True,0.0513078816537397,1.360474261563508,0.95,-0.0286999471358887,0.1676446408944316,0.1887811218878112,studentized,0.1634836516348365,0.1887811218878112,-0.0428120283128435,0.1759160398216763,10000,estimated,grains,0.2980754556123335,1.0,0.8644135586441356,estimated,False,False,False,0.0698030524052595,-0.01127658245920386,0.08107963486446336,-0.07430858221280524,0.05145102205077843,10000,9000,estimated,0.0117988201179882,0.019664700196647,True,False
"Natural gas, Europe",19,19,-0.2335077399298901,-0.2213508699629166,0.0,negative,True,0.0369709960421035,-6.315971029397359,0.95,-0.3081707949154644,-0.1660327963346617,0.0001999800019998,studentized,9.999000099990002e-05,0.0001999800019998,-0.3243424992691465,-0.1613232696129335,10000,estimated,energy,0.0011998800119988,0.0047935052065838,0.0184981501849815,estimated,True,True,True,-0.2335077399298901,-0.14958928928700216,-0.08391845064288794,-0.1931788936864559,-0.10590736597539448,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,True
"Natural gas, US",19,19,-0.1225517896738852,-0.1270461263118032,0.2105263157894736,negative,True,0.0397357655185886,-3.084168332344184,0.95,-0.1957143632804789,-0.0443836577728997,0.0087991200879912,studentized,0.0017998200179982,0.0087991200879912,-0.1983339203517662,-0.0280232263705326,10000,estimated,energy,0.030663600306636,0.1225006886126973,0.261973802619738,estimated,True,False,False,-0.1225517896738852,-0.04835274481366379,-0.07419904486022141,-0.14194912062511925,0.05070209971170304,10000,9000,estimated,0.12438756124387561,0.16224464510070732,False,False
Orange,19,19,0.0207114256934289,0.0888300846718109,0.5263157894736842,positive,True,0.0607608644514423,0.3408678576319575,0.95,-0.0931932244890946,0.1392263504135665,0.7310268973102689,studentized,0.7232276772322768,0.7310268973102689,-0.1014981214272547,0.1544452626776739,10000,estimated,horticulture,0.812252108122521,1.0,0.9971002899710028,estimated,False,False,False,0.0207114256934289,-0.004189677882990038,0.024901103576418938,-0.10095006380719981,0.09301582275965278,10000,9000,estimated,0.6353364663533647,0.6854314568543146,False,False
Palm oil,19,19,0.3493516488175756,0.3865709715313207,0.9473684210526316,positive,True,0.0528302127545798,6.612724624836771,0.95,0.2482662284137019,0.4509439281845361,9.999000099990002e-05,studentized,9.999000099990002e-05,9.999000099990002e-05,0.2366368674873986,0.4574832192132212,10000,estimated,oils,0.000999900009999,0.0039945876721531,0.0151984801519848,estimated,True,True,True,0.3493516488175756,0.06839758715664339,0.2809540616609322,-0.01378567637453691,0.15181675379858442,10000,9000,estimated,0.00019998000199980003,0.0004624633883150917,True,True
