commodity,specifications_tested,specifications_passed,min_mean_return,max_mean_return,stable_direction_all,worst_bootstrap_q_value,worst_placebo_q_value,weakest_index_definition,weakest_anchor_type,primary_fragility_pass,passes_timing_index_robustness
"Banana, US",4,0,-0.10259618400511118,-0.01557988074257336,True,0.8343303600674414,0.9543045695430457,oni,observable,False,False
Barley,4,0,0.16942848013869646,0.272526246578878,True,0.12234490836630621,0.05999400059994001,roni,retrospective,False,False
Beef **,4,0,0.006188132183605155,0.11410271211864209,True,0.9573180612973186,0.8391160883911609,roni,retrospective,False,False
Chicken **,4,0,-0.06575930123150339,-0.000171395814178281,True,0.9963003699630038,0.9543045695430457,roni,observable,False,False
"Coal, Australian",4,1,-0.1966111000842242,-0.07021974985117321,True,0.4483301669833017,0.9543045695430457,oni,observable,True,False
Cocoa,4,0,0.2519425331536933,0.36364153917469816,True,0.20262973702629736,0.41662500416625003,oni,observable,False,False
Coconut oil,4,4,0.8849426960023682,1.3303084104245446,True,0.027747225277472254,0.0006666000066660002,oni,observable,True,True
"Coffee, Arabica",4,1,0.23491914997496255,0.47992383555672075,True,0.16987774906719852,0.9881011898810119,roni,retrospective,False,False
"Coffee, Robusta",4,2,0.32853974649322676,0.5500767554101047,True,0.12863419540398902,0.3799620037996201,oni,retrospective,True,False
"Cotton, A Index",4,0,0.13872939429710346,0.2350637821962843,True,0.2621166454783093,0.0006666000066660002,roni,retrospective,False,False
DAP,4,1,0.23916494760341156,0.38380847690765924,True,0.12148785121487851,0.001124887511248875,roni,observable,False,False
Fish meal,4,0,0.11630478811489568,0.16795116812811586,True,0.16969731598268742,0.40243975602439763,oni,retrospective,False,False
Groundnut oil **,4,0,0.0891463089557411,0.19618575012584866,True,0.3434656534346565,0.04889511048895111,oni,retrospective,False,False
Lamb **,4,0,-0.03649055840545192,0.06992783879825579,False,0.8343303600674414,0.9385061493850615,oni,retrospective,False,False
"Logs, Malaysian",4,1,0.15754201383384778,0.2786255115953305,True,0.1855814418558144,0.01705092648629874,oni,observable,False,False
Maize,4,1,0.10394241271768621,0.25455490020354965,True,0.16087864897720755,0.002571171454283143,roni,retrospective,False,False
"Natural gas, Europe",4,2,-0.2673681299253489,-0.08831129315355996,True,0.2883997314554259,0.276972302769723,oni,observable,True,False
"Natural gas, US",4,0,-0.14548913469698796,-0.02371548239036014,True,0.705572299912866,0.8883556088835561,oni,retrospective,False,False
Orange,4,0,-0.04474391509644513,0.09052078372365499,False,0.9573180612973186,0.9334238989894114,roni,retrospective,False,False
Palm oil,4,4,0.43494056979515805,0.6516714497048576,True,0.007499250074992501,0.0028418210810497897,oni,retrospective,True,True
"Rice, Thai 5%",4,2,0.24761742553927246,0.3974080267144618,True,0.20262973702629736,0.0006666000066660002,oni,observable,False,False
"Rubber, RSS3",4,4,0.31831110075067337,0.4411999924338497,True,0.035329800353297997,0.0006666000066660002,oni,observable,True,True
"Shrimps, Mexican",4,0,-0.0774562172371612,0.012814362741242678,False,0.8343303600674414,0.04439556044395561,roni,observable,False,False
Sorghum,4,0,0.09634960868214307,0.16526478219995336,True,0.16435198585404617,0.002307461561536154,oni,retrospective,False,False
Soybeans,4,2,0.10339257137520426,0.1872599575638365,True,0.3199245292862018,0.0027997200279972004,oni,retrospective,False,False
"Sugar, world",4,0,0.0548129960551878,0.13136731261961845,True,0.6599340065993401,0.030568371734255147,oni,observable,False,False
"Tea, avg 3 auctions",4,0,0.08985907478690593,0.1259841562930212,True,0.17413258674132587,0.0006666000066660002,roni,observable,False,False
"Tobacco, US import u.v.",4,0,-0.019951450256877782,-0.009414094985083138,True,0.766769476898464,0.38026966534115825,roni,observable,False,False
Urea,4,2,0.2662095632383248,0.32256376952710175,True,0.09299070092990701,0.38026966534115825,oni,observable,True,False
"Wheat, US HRW",4,0,-0.001585997573549733,0.1272867312854427,False,0.9883011698830118,0.056721600567216,oni,retrospective,False,False
