index_definition,anchor_type,commodity,warm_episodes,cold_episodes,warm_mean_return,cold_mean_return,warm_minus_cold,opposite_mean_directions,valid_randomization_replicates,contrast_p_value,cold_bootstrap_mean_return,cold_bootstrap_p_value,cold_direction,cold_sign_agreement,reject_direction_contrast_raw,reject_cold_bootstrap_raw
roni,retrospective,Gold,17,18,0.18820031067900309,0.11490004456249096,0.07330026611651212,False,10000,0.31286871312868714,0.11490004456249098,0.028997100289971003,positive,True,False,True
roni,retrospective,Platinum,17,18,0.13616157757439853,0.042514051370220816,0.09364752620417771,False,10000,0.15298470152984703,0.04251405137022081,0.35876412358764126,positive,False,False,False
roni,retrospective,Silver,17,18,0.3193103731903863,0.2685460250399488,0.05076434815043751,False,10000,0.6854314568543146,0.26854602503994873,0.014998500149985002,positive,True,False,True
roni,observable,Gold,17,17,0.13434282280712195,0.11917911315564982,0.015163709651472138,False,10000,0.8308169183081692,0.11917911315564984,0.0306969303069693,positive,True,False,True
roni,observable,Platinum,17,17,0.0936427743909184,0.019633760821606262,0.07400901356931214,False,10000,0.18468153184681532,0.019633760821606262,0.6147385261473852,positive,False,False,False
roni,observable,Silver,17,17,0.27767553048485855,0.1274938024724461,0.15018172801241245,False,10000,0.07429257074292571,0.12749380247244613,0.0395960403959604,positive,True,False,True
oni,retrospective,Gold,17,17,0.15289689931842018,0.05463617897267275,0.09826072034574743,False,10000,0.17668233176682333,0.05463617897267274,0.23297670232976703,positive,True,False,False
oni,retrospective,Platinum,17,17,0.07082600457542586,-0.052296451326742925,0.12312245590216878,True,10000,0.06969303069693031,-0.05229645132674292,0.19418058194180582,negative,True,False,False
oni,retrospective,Silver,17,17,0.25186324768359736,0.1638579062832036,0.08800534140039376,False,10000,0.4684531546845315,0.16385790628320354,0.11248875112488751,positive,True,False,False
oni,observable,Gold,17,17,0.09295467491328839,0.08851996269347107,0.0044347122198173244,False,10000,0.9453054694530547,0.08851996269347107,0.09619038096190381,positive,True,False,False
oni,observable,Platinum,17,17,0.08587065736433495,0.00254569219995492,0.08332496516438004,False,10000,0.11088891110888911,0.0025456921999549216,0.9415058494150585,positive,True,False,False
oni,observable,Silver,17,17,0.2510765720470809,0.12649071303862908,0.12458585900845182,False,10000,0.07889211078892111,0.1264907130386291,0.031796820317968204,positive,True,False,True
