treatment,kind,episodes,correlation_with_primary_index,candidates_passing_gates,candidates_rejecting_bootstrap_fdr,controls_rejecting_bootstrap_raw,controls_rejecting_placebo_raw
roni,reference,22,1.0,9,11,3,3
dmi,external_climate_index,13,0.21442668525477393,0,0,0,0
pdo,external_climate_index,16,0.380069535084137,0,0,1,0
nao,external_climate_index,4,-0.003154056204278421,0,0,0,0
amo,external_climate_index,19,-0.11122752341176431,0,0,0,2
phase_randomized_0000,phase_randomized,22,-0.07763533432792913,0,0,1,1
phase_randomized_0001,phase_randomized,22,-0.025519561228134396,0,0,0,2
phase_randomized_0002,phase_randomized,22,-0.08571966593625278,0,0,1,2
phase_randomized_0003,phase_randomized,16,-0.19657026579307976,0,0,0,2
phase_randomized_0004,phase_randomized,19,0.2384380466076692,1,1,1,1
phase_randomized_0005,phase_randomized,22,0.15660573985592077,1,1,0,1
phase_randomized_0006,phase_randomized,22,-0.06510333157353504,0,0,1,3
phase_randomized_0007,phase_randomized,21,0.14385294811537883,0,0,1,3
phase_randomized_0008,phase_randomized,23,0.10923816594995223,0,0,0,2
phase_randomized_0009,phase_randomized,25,-0.03609156188384934,0,0,0,3
phase_randomized_0010,phase_randomized,21,-0.06938303987057882,0,0,0,0
phase_randomized_0011,phase_randomized,25,0.015452705210357517,1,1,0,1
phase_randomized_0012,phase_randomized,21,-0.20789173109236467,0,0,1,2
phase_randomized_0013,phase_randomized,20,0.15275530034867596,0,0,0,0
phase_randomized_0014,phase_randomized,20,-0.037374809469936064,0,0,0,2
phase_randomized_0015,phase_randomized,17,-0.03758774739674501,0,0,0,1
phase_randomized_0016,phase_randomized,19,0.06704591850140706,0,0,2,1
phase_randomized_0017,phase_randomized,24,0.11535560509153,0,0,0,2
phase_randomized_0018,phase_randomized,18,-0.03720568547838322,0,0,1,2
phase_randomized_0019,phase_randomized,22,-0.13692436784230155,1,3,0,1
phase_randomized_0020,phase_randomized,21,0.12126876353097833,0,0,1,1
phase_randomized_0021,phase_randomized,22,-0.12965627582435027,0,0,0,1
phase_randomized_0022,phase_randomized,23,0.24057078062636417,1,1,0,1
phase_randomized_0023,phase_randomized,21,-0.20737794772518936,0,0,0,0
phase_randomized_0024,phase_randomized,22,-0.10929077634584398,0,0,0,3
phase_randomized_0025,phase_randomized,23,0.3264433955455248,1,3,0,0
phase_randomized_0026,phase_randomized,23,-0.16534696176490238,0,0,0,0
phase_randomized_0027,phase_randomized,22,-0.09317767767324911,1,1,2,3
phase_randomized_0028,phase_randomized,22,0.016211360818929287,0,0,0,0
phase_randomized_0029,phase_randomized,19,0.18066942706795952,0,0,0,0
phase_randomized_0030,phase_randomized,24,0.08588428356523284,0,0,2,3
phase_randomized_0031,phase_randomized,21,0.07894579305761626,1,1,0,1
phase_randomized_0032,phase_randomized,19,0.007825952306807092,0,0,0,0
phase_randomized_0033,phase_randomized,25,-0.21468027207154022,0,0,0,1
phase_randomized_0034,phase_randomized,24,0.16829659245688425,0,0,0,2
phase_randomized_0035,phase_randomized,19,0.002289848647970903,0,0,0,1
phase_randomized_0036,phase_randomized,19,-0.08619273208593874,0,0,0,1
phase_randomized_0037,phase_randomized,23,0.04864685178791317,3,3,0,2
phase_randomized_0038,phase_randomized,16,0.010453052240775166,0,0,1,1
phase_randomized_0039,phase_randomized,21,-0.09412361932562258,0,0,0,1
phase_randomized_0040,phase_randomized,20,0.033066091315107286,0,0,0,1
phase_randomized_0041,phase_randomized,20,0.12387340982384551,0,0,1,2
phase_randomized_0042,phase_randomized,20,-0.002999270245952922,0,0,1,3
phase_randomized_0043,phase_randomized,22,-0.385350105055,0,0,2,3
phase_randomized_0044,phase_randomized,21,0.07460575483947357,0,1,0,0
phase_randomized_0045,phase_randomized,18,0.15493734249568017,0,0,0,1
phase_randomized_0046,phase_randomized,23,-0.027441894713489536,0,0,0,3
phase_randomized_0047,phase_randomized,25,-0.14121658689652633,0,0,0,1
phase_randomized_0048,phase_randomized,22,-0.13936987812723411,0,0,1,1
phase_randomized_0049,phase_randomized,25,-0.18879513923871752,0,1,0,0
phase_randomized_0050,phase_randomized,26,0.0234998320613404,0,0,0,2
phase_randomized_0051,phase_randomized,18,0.1550886618123426,0,0,0,1
phase_randomized_0052,phase_randomized,21,-0.08766539389433424,0,0,0,2
phase_randomized_0053,phase_randomized,23,0.12711913734160915,0,0,0,2
phase_randomized_0054,phase_randomized,23,-0.0817362861641369,0,0,1,2
phase_randomized_0055,phase_randomized,23,0.08611302596505348,0,0,1,1
phase_randomized_0056,phase_randomized,19,0.10362319445026219,0,0,0,0
phase_randomized_0057,phase_randomized,25,0.12350129928984786,0,0,2,2
phase_randomized_0058,phase_randomized,19,-0.04452753928297931,0,0,1,3
phase_randomized_0059,phase_randomized,21,-0.03204380866205931,0,1,1,2
phase_randomized_0060,phase_randomized,21,-0.17655911442526226,0,0,0,3
phase_randomized_0061,phase_randomized,23,0.09366573269479989,0,0,0,1
phase_randomized_0062,phase_randomized,16,0.06063569291218533,0,0,0,2
phase_randomized_0063,phase_randomized,24,0.13875869719031572,0,0,0,2
phase_randomized_0064,phase_randomized,19,-0.011390051482261129,0,0,0,0
phase_randomized_0065,phase_randomized,20,0.108534123686894,0,1,0,1
phase_randomized_0066,phase_randomized,21,-0.3039264387739802,5,5,0,2
